Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,121,138,156,164
  └─ Sales Growth %,,14.19%,13.08%,5.38%
Expenses,95,104,119,124
  └─ Material Cost %,36.33%,33.68%,34.65%,36.99%
    └─ Raw material cost,47,52,60,61
    └─ Change in inventory,-3,-6,-6,-0
  └─ Manufacturing Cost %,24.76%,23.20%,23.09%,0.00%
  └─ Employee Cost %,11.43%,12.37%,11.97%,12.03%
  └─ Other Cost %,6.15%,6.46%,6.58%,26.82%
Operating Profit,26,33,37,40
OPM %,21%,24%,24%,24%
Other Income,2,3,3,3
  └─ Exceptional items,-0.01,-0.07,-0.07,0.00
  └─ Other income normal,2.07,2.82,2.89,3.10
Interest,1,1,1,1
Depreciation,5,6,6,6
Profit before tax,22,30,33,36
Tax %,26%,25%,28%,28%
Net Profit,16,22,24,26
  └─ Exceptional items AT,-0.01,-0.06,-0.05,0.00
  └─ Profit excl Excep,16.03,22.13,23.77,25.84
  └─ Profit for PE,16.03,22.13,23.77,25.84
  └─ Profit for EPS,16.02,22.07,23.72,25.84
  └─ Profit Growth %,,38.05%,7.41%,8.71%
EPS in Rs,35.60,49.04,52.71,57.42
Dividend Payout %,18%,17%,16%,15%
