Metric,Mar 2016,Mar 2017,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,70,76,449,321,303,285,262
  └─ Sales Growth %,,8.04%,,-28.48%,-5.51%,-6.25%,
Expenses,61,65,416,301,271,250,222
  └─ Material Cost %,51%,49%,71%,67%,63%,57%,
    └─ Raw material cost,36,37,323,220,187,160,
    └─ Change in inventory,0,0,-5,-4,3,2,
  └─ Manufacturing Cost %,15%,16%,0%,10%,11%,12%,
  └─ Employee Cost %,10%,10%,4%,7%,7%,9%,
  └─ Other Cost %,10%,10%,18%,9%,9%,10%,
Operating Profit,10,11,33,20,33,34,40
OPM %,14%,15%,7%,6%,11%,12%,15%
Other Income,0,1,4,3,3,5,4
  └─ Exceptional items,0.00,0.00,0.00,0.07,0.10,0.42,
  └─ Other income normal,0.09,0.51,4.32,3.42,2.90,4.09,
Interest,3,3,8,7,5,6,7
Depreciation,3,4,11,11,9,11,12
Profit before tax,3,5,18,6,22,21,25
Tax %,39%,8%,31%,16%,25%,28%,
Net Profit,2,5,13,5,16,15,17
  └─ Exceptional items AT,0.00,0.00,0.00,0.05,0.07,0.30,
  └─ Profit excl Excep,1.76,4.77,12.52,4.81,16.34,15.09,
  └─ Profit for PE,1.76,4.77,12.52,4.81,16.34,15.09,
  └─ Profit for EPS,1.76,4.77,12.52,4.86,16.41,15.39,
  └─ Profit Growth %,,171.02%,,-61.58%,239.71%,-7.65%,
EPS in Rs,3.44,9.32,24.47,9.50,32.07,30.08,33.75
Dividend Payout %,0%,11%,0%,0%,0%,0%,
