Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1078,1207,1668,1953,2296,2382,2324,2583,2929
  └─ Sales Growth %,,12.02%,38.17%,17.07%,17.59%,3.74%,-2.41%,11.13%,13.38%
Expenses,923,1029,1398,1570,1823,2166,2131,2347,2749
  └─ Material Cost %,30.87%,38.32%,28.56%,32.30%,26.49%,42.27%,36.89%,34.84%,45.94%
    └─ Raw material cost,385,430,551,591,950,883,811,1051,1505
    └─ Change in inventory,-52,33,-75,40,-342,124,46,-151,-160
  └─ Manufacturing Cost %,14.98%,10.09%,37.44%,33.97%,36.89%,29.11%,33.23%,34.38%,0.00%
  └─ Employee Cost %,3.48%,3.64%,4.05%,3.58%,3.87%,5.07%,5.69%,5.85%,6.11%
  └─ Other Cost %,36.35%,33.21%,13.80%,10.55%,12.13%,14.50%,15.87%,15.80%,41.83%
Operating Profit,154,178,269,382,473,215,193,236,179
OPM %,14%,15%,16%,20%,21%,9%,8%,9%,6%
Other Income,2,9,6,10,17,18,21,30,26
  └─ Exceptional items,-0.10,-0.01,0.20,-0.96,3.86,-0.25,0.38,2.45,-6.11
  └─ Other income normal,1.85,9.04,5.68,11.19,13.09,17.93,20.60,27.34,32.08
Interest,25,24,21,13,16,24,20,21,38
Depreciation,10,11,15,18,18,20,22,24,30
Profit before tax,121,152,239,362,456,189,172,221,138
Tax %,36%,35%,26%,26%,26%,27%,27%,25%,23%
Net Profit,78,99,177,269,338,137,126,165,106
  └─ Minority share,0,0,0,2,2,5,4,1,-2
  └─ Exceptional items AT,-0,-0,0,-1,3,-0,0,2,-5
  └─ Profit excl Excep,78,99,177,270,335,138,125,163,111
  └─ Profit for PE,78,99,178,272,337,142,129,163,108
  └─ Profit for EPS,78,99,178,271,340,142,130,165,104
  └─ Profit Growth %,,27%,80%,53%,24%,-58%,-9%,26%,-34%
EPS in Rs,30.84,39.12,70.35,107.47,112.95,47.23,43.07,54.97,34.52
Dividend Payout %,7%,9%,19%,0%,11%,11%,5%,4%,6%
