Metric,Mar 2019,Mar 2020,Mar 2021,TTM
Sales,33.01,38.89,23.75,31.38
  └─ Sales Growth %,,17.81%,-38.93%,
Expenses,30.32,38.69,24.79,30.33
  └─ Material Cost %,39.26%,43.97%,40.46%,
    └─ Raw material cost,12.69,18.00,10.04,
    └─ Change in inventory,0.27,-0.90,-0.43,
  └─ Manufacturing Cost %,37.56%,33.25%,37.05%,
  └─ Employee Cost %,4.63%,7.41%,8.93%,
  └─ Other Cost %,10.39%,14.86%,17.94%,
Operating Profit,2.69,0.20,-1.04,1.05
OPM %,8.15%,0.51%,-4.38%,3.35%
Other Income,1.70,4.27,5.50,5.91
  └─ Exceptional items,1.08,2.94,0.05,
  └─ Other income normal,0.62,1.33,5.45,
Interest,0.59,0.60,0.49,0.42
Depreciation,3.31,3.63,3.51,3.49
Profit before tax,0.49,0.24,0.46,3.05
Tax %,32.65%,91.67%,-97.83%,
Net Profit,0.33,0.02,0.91,3.20
  └─ Exceptional items AT,1,3,0,
  └─ Profit excl Excep,-1,-3,1,
  └─ Profit for PE,-1,-3,1,
  └─ Profit for EPS,0,0,1,
  └─ Profit Growth %,,-358%,132%,
EPS in Rs,0.14,0.01,0.39,1.37
Dividend Payout %,-0.00%,-0.00%,-0.00%,
