Metric,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1464,1651,2414,2723,3672,3655,4178,4118,4359
  └─ Sales Growth %,,12.75%,,12.78%,34.87%,-0.46%,14.32%,-1.44%,5.85%
Expenses,1340,1507,2240,2485,3761,3361,4055,3654,3837
  └─ Material Cost %,57%,56%,61%,62%,64%,62%,61%,59%,58%
    └─ Raw material cost,864,943,1503,1738,2433,2250,2538,2435,2500
    └─ Change in inventory,-30,-27,-29,-47,-88,24,12,-2,14
  └─ Manufacturing Cost %,4%,5%,6%,5%,6%,7%,6%,6%,0%
  └─ Employee Cost %,18%,19%,18%,16%,14%,16%,15%,17%,17%
  └─ Other Cost %,12%,12%,7%,8%,19%,7%,14%,6%,13%
Operating Profit,124,144,174,238,-89,294,123,465,522
OPM %,8%,9%,7%,9%,-2%,8%,3%,11%,12%
Other Income,6,6,26,11,7,15,8,69,109
  └─ Exceptional items,-0,0,-1,-10,-14,-68,-26,20,-20
  └─ Other income normal,7,6,27,21,21,83,34,48,129
Interest,23,22,20,7,17,46,51,35,94
Depreciation,31,38,67,70,95,113,126,153,155
Profit before tax,77,89,114,172,-193,150,-45,345,382
Tax %,51%,50%,62%,28%,30%,35%,-102%,0%,33%
Net Profit,43,61,44,123,-251,98,1,344,256
  └─ Minority share,0,0,0,-1,-2,-3,-5,-6,-1
  └─ Exceptional items AT,-0,0,-0,-7,-9,-32,17,16,-13
  └─ Profit excl Excep,43,61,44,130,-242,130,-16,328,270
  └─ Profit for PE,43,61,44,130,-244,126,-21,323,269
  └─ Profit for EPS,43,61,44,123,-253,95,-4,338,255
  └─ Profit Growth %,,42%,,194%,-288%,152%,-116%,1661%,-17%
EPS in Rs,366.55,523.23,335.61,943.49,-35.30,6.63,-0.28,21.49,16.21
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,18%
