Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,2476,2614,2417,1884,3076,3074,2703,2677,2575
  └─ Sales Growth %,,5.55%,-7.54%,-22.04%,63.29%,-0.07%,-12.07%,-0.98%,-3.78%
Expenses,2229,2402,2245,1780,2698,2814,2740,2634,2523
  └─ Material Cost %,57%,59%,56%,56%,52%,54%,63%,58%,55%
    └─ Raw material cost,1436,1523,1365,978,1668,1858,1524,1564,1433
    └─ Change in inventory,-24,18,-2,85,-63,-200,181,-15,-4
  └─ Manufacturing Cost %,18%,15%,15%,15%,14%,16%,16%,17%,12%
  └─ Employee Cost %,12%,13%,15%,16%,13%,14%,15%,17%,17%
  └─ Other Cost %,3%,6%,7%,7%,8%,7%,7%,7%,13%
Operating Profit,247,212,172,104,379,260,-37,43,53
OPM %,10%,8%,7%,6%,12%,8%,-1%,2%,2%
Other Income,76,28,21,31,28,-10,16,22,5
  └─ Exceptional items,43.18,2.61,-4.13,1.52,-6.87,-31.86,-6.32,4.32,-13.16
  └─ Other income normal,32.35,25.26,25.14,29.60,34.80,21.71,21.89,17.45,18.44
Interest,59,57,46,38,50,58,65,63,66
Depreciation,107,101,101,96,121,127,117,111,110
Profit before tax,157,83,46,2,236,65,-204,-110,-117
Tax %,28%,29%,40%,276%,36%,43%,-33%,-38%,-27%
Net Profit,113,58,28,-4,150,37,-136,-68,-86
  └─ Exceptional items AT,31,2,-2,-3,-4,-18,-6,4,-13
  └─ Profit excl Excep,82,56,30,-1,155,56,-129,-73,-73
  └─ Profit for PE,82,56,30,-1,155,56,-129,-73,-73
  └─ Profit for EPS,113,58,28,-4,150,37,-136,-68,-86
  └─ Profit Growth %,,-31%,-47%,-103%,15717%,-64%,-333%,44%,-1%
EPS in Rs,6.92,3.56,1.69,-0.22,9.17,2.28,-8.27,-4.18,-5.27
Dividend Payout %,19%,18%,18%,-134%,20%,44%,-12%,0%,0%
