Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,453,482,578,850,987,1003,1128,1378,1548,1964,2225
  └─ Sales Growth %,,6.42%,19.80%,47.16%,16.04%,1.67%,12.44%,22.14%,12.38%,26.80%,
Expenses,284,299,372,591,712,701,794,1050,1181,1584,1863
  └─ Manufacturing Cost %,0%,0%,36%,48%,56%,56%,57%,59%,62%,68%,
  └─ Employee Cost %,14%,15%,16%,12%,12%,11%,11%,9%,13%,11%,
  └─ Other Cost %,48%,47%,13%,9%,4%,3%,3%,8%,2%,2%,
Operating Profit,169,184,206,259,274,302,334,327,368,380,362
OPM %,37%,38%,36%,30%,28%,30%,30%,24%,24%,19%,16%
Other Income,84,73,70,52,44,35,-12,33,79,36,84
  └─ Exceptional items,0.00,0.00,-0.01,0.00,0.67,0.02,-48.51,0.05,50.06,-2.13,
  └─ Other income normal,84.46,72.59,70.47,52.47,43.75,34.97,36.93,33.39,29.23,38.62,
Interest,0,0,1,1,4,8,7,4,6,7,6
Depreciation,85,90,81,116,119,112,131,159,160,154,153
Profit before tax,169,166,195,194,196,218,185,197,281,255,288
Tax %,18%,27%,47%,33%,20%,38%,24%,28%,26%,26%,
Net Profit,276,242,103,130,158,135,141,142,209,189,215
  └─ Profit from Associates,138,121,0,0,0,0,0,0,0,0,
  └─ Minority share,-138,-121,0,0,0,0,0,0,0,0,
  └─ Exceptional items AT,0,0,-0,0,0,0,-34,0,37,-2,
  └─ Profit excl Excep,276,242,103,130,157,135,175,142,172,191,
  └─ Profit for PE,138,121,103,130,157,135,175,142,172,191,
  └─ Profit for EPS,138,121,103,130,158,135,141,142,209,189,
  └─ Profit Growth %,,-12%,-15%,27%,21%,-14%,29%,-19%,21%,11%,
EPS in Rs,4.30,3.77,3.20,4.06,4.92,4.22,4.40,4.44,6.51,5.89,6.69
Dividend Payout %,12%,14%,40%,34%,11%,47%,48%,50%,37%,43%,
