Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,225,269,253,265,247,446,648,652,740,782,884
  └─ Sales Growth %,,19.75%,-5.95%,4.50%,-6.65%,80.80%,45.09%,0.63%,13.47%,5.68%,13.16%
Expenses,212,256,238,242,221,413,613,619,689,728,804
  └─ Material Cost %,77%,78%,75%,71%,69%,76%,75%,79%,80%,78%,74%
    └─ Raw material cost,162,212,202,206,207,359,538,576,571,660,676
    └─ Change in inventory,11,-2,-11,-19,-37,-18,-55,-59,19,-48,-18
  └─ Manufacturing Cost %,4%,10%,11%,13%,11%,11%,15%,11%,10%,11%,0%
  └─ Employee Cost %,3%,3%,4%,4%,5%,3%,3%,3%,2%,2%,2%
  └─ Other Cost %,11%,4%,3%,4%,4%,2%,2%,2%,2%,2%,15%
Operating Profit,12,14,15,22,26,33,35,33,51,54,80
OPM %,5%,5%,6%,8%,10%,7%,5%,5%,7%,7%,9%
Other Income,4,2,3,4,1,3,9,10,6,9,12
  └─ Exceptional items,0.00,0.19,0.11,-0.05,-0.06,0.02,0.10,4.61,-0.13,0.01,0.00
  └─ Other income normal,4.34,1.45,2.70,4.28,1.28,2.61,8.46,5.51,6.29,9.23,11.79
Interest,4,4,6,14,17,19,23,22,33,33,29
Depreciation,10,8,8,10,9,9,9,9,9,9,9
Profit before tax,3,3,4,2,1,8,11,12,15,21,54
Tax %,-14%,78%,51%,120%,-250%,22%,24%,20%,25%,25%,24%
Net Profit,3,1,2,-0,3,6,9,9,11,15,41
  └─ Exceptional items AT,0,0,0,0,-0,0,0,4,-0,0,0
  └─ Profit excl Excep,3,1,2,-0,3,6,9,6,11,15,41
  └─ Profit for PE,3,1,2,-0,3,6,9,6,11,15,41
  └─ Profit for EPS,3,1,2,-0,3,6,9,9,11,15,41
  └─ Profit Growth %,,-79%,216%,-122%,779%,105%,46%,-33%,99%,36%,165%
EPS in Rs,0.44,0.10,0.30,-0.06,0.43,0.89,1.32,1.43,1.51,1.94,3.84
Dividend Payout %,0%,0%,0%,0%,0%,3%,0%,2%,3%,3%,1%
