Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM
Sales,11,20,22,51,48,136,240,378,560,611
  └─ Sales Growth %,,80.18%,13.04%,132.53%,-6.09%,,76.76%,57.43%,48.24%,
Expenses,12,21,20,49,45,121,208,329,484,535
  └─ Material Cost %,90%,84%,0%,0%,0%,80%,80%,75%,76%,
    └─ Raw material cost,9,18,0,0,0,110,197,321,435,
    └─ Change in inventory,1,-1,0,0,0,-1,-5,-37,-8,
  └─ Manufacturing Cost %,10%,6%,84%,87%,87%,4%,3%,6%,4%,
  └─ Employee Cost %,7%,4%,3%,2%,2%,2%,1%,3%,3%,
  └─ Other Cost %,6%,13%,3%,6%,3%,4%,2%,3%,3%,
Operating Profit,-1,-1,2,3,4,14,32,49,76,76
OPM %,-13%,-7%,9%,5%,7%,11%,13%,13%,14%,12%
Other Income,3,10,0,1,1,2,92,5,3,10
  └─ Exceptional items,0.00,-0.05,0.00,0.00,0.00,0.01,79.06,0.01,0.00,
  └─ Other income normal,3.22,10.38,0.39,0.78,0.55,1.52,12.75,4.83,2.96,
Interest,0,0,0,0,1,6,9,21,29,34
Depreciation,1,1,1,1,1,1,1,10,10,12
Profit before tax,1,8,1,2,2,9,114,23,39,40
Tax %,0%,0%,1%,-1%,0%,31%,7%,-33%,34%,
Net Profit,1,8,1,2,2,6,106,30,26,26
  └─ Exceptional items AT,0.00,-0.05,0.00,0.00,0.00,0.01,73.05,0.00,0.00,
  └─ Profit excl Excep,0.93,7.81,1.08,2.15,1.93,6.29,32.93,30.07,25.81,
  └─ Profit for PE,0.93,7.81,1.08,2.15,1.93,6.29,32.93,30.07,25.81,
  └─ Profit for EPS,0.93,7.76,1.08,2.15,1.93,6.30,105.98,30.07,25.81,
  └─ Profit Growth %,,739.78%,-86.17%,99.07%,-10.23%,,423.53%,-8.69%,-14.17%,
EPS in Rs,,,,,,5.50,75.28,20.35,17.18,17.25
Dividend Payout %,0%,0%,0%,0%,0%,0%,1%,5%,6%,
