Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,19,19,30,76,123,162,197,83
  └─ Sales Growth %,,0%,55%,156%,63%,31%,22%,-58%
Interest,5,2,4,24,51,79,99,75
Expenses,12,12,22,40,63,83,144,155
  └─ Manufacturing Cost %,0%,1%,3%,2%,2%,3%,3%,0%
  └─ Employee Cost %,29%,39%,47%,25%,24%,27%,25%,36%
  └─ Other Cost %,31%,21%,24%,25%,25%,22%,46%,152%
Financing Profit,2,6,4,12,10,-0,-46,-148
Financing Margin %,12%,31%,12%,15%,8%,-0%,-24%,-179%
Other Income,0,0,0,0,1,21,3,3
  └─ Exceptional items,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.26,0.14,0.45,0.24,0.66,20.95,2.84,3.10
Depreciation,0,0,1,5,8,9,28,8
Profit before tax,2,6,3,7,2,11,-71,-152
Tax %,12%,27%,53%,45%,74%,4%,-17%,-26%
Net Profit,2,4,1,4,1,11,-59,-113
  └─ Exceptional items AT,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,2,4,1,4,1,11,-59,-113
  └─ Profit for PE,2,4,1,4,1,11,-59,-113
  └─ Profit for EPS,2,4,1,4,1,11,-59,-113
  └─ Profit Growth %,,89%,-68%,206%,-84%,1640%,-641%,-90%
EPS in Rs,0.32,0.60,0.17,0.45,0.05,0.94,-5.07,-9.48
Dividend Payout %,16%,3%,6%,2%,18%,1%,0%,0%
