Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales,1253,1380,1548,1658,1748,1732,1982,2301,2769,3140,3260,3649,3893
  └─ Sales Growth %,12.85%,10.10%,12.14%,7.17%,5.43%,-0.96%,14.44%,16.09%,20.34%,13.39%,3.83%,11.94%,
Expenses,865,980,1104,1203,1277,1276,1471,1690,2039,2258,2349,2564,2733
  └─ Manufacturing Cost %,3%,3%,3%,3%,3%,3%,3%,2%,3%,3%,4%,4%,
  └─ Employee Cost %,47%,50%,51%,51%,51%,51%,54%,56%,56%,56%,54%,53%,
  └─ Other Cost %,19%,18%,18%,19%,19%,20%,18%,15%,14%,13%,14%,13%,
Operating Profit,389,400,443,455,471,456,511,611,730,882,911,1085,1160
OPM %,31%,29%,29%,27%,27%,26%,26%,27%,26%,28%,28%,30%,30%
Other Income,24,43,50,25,73,73,83,123,122,94,90,107,124
  └─ Exceptional items,11,20,27,15,4,10,7,57,13,21,62,63,
  └─ Other income normal,13,23,23,10,69,63,76,66,110,73,28,44,
Interest,0,0,0,0,2,0,14,9,6,4,4,22,23
Depreciation,36,37,55,47,43,37,121,106,103,104,70,129,138
Profit before tax,376,406,438,434,500,492,458,618,742,868,926,1041,1122
Tax %,29%,30%,33%,30%,27%,30%,23%,25%,24%,24%,26%,26%,
Net Profit,268,285,294,304,363,344,355,466,564,658,684,766,839
  └─ Exceptional items AT,8,14,18,10,3,7,5,43,9,16,78,81,
  └─ Profit excl Excep,261,272,277,294,360,337,349,423,555,643,606,685,
  └─ Profit for PE,261,272,277,294,360,337,349,423,555,643,606,685,
  └─ Profit for EPS,268,285,294,304,363,344,355,466,564,658,684,766,
  └─ Profit Growth %,4%,4%,2%,6%,22%,-6%,4%,21%,31%,16%,-6%,13%,
EPS in Rs,37.62,40.04,41.26,42.46,50.35,47.57,48.87,63.92,77.25,90.06,93.54,104.75,114.79
Dividend Payout %,53%,57%,65%,66%,60%,67%,68%,72%,62%,60%,60%,57%,
