Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,4832,5398,5993,5900,6197,6668,6830,7919,8034
  └─ Sales Growth %,,11.71%,11.02%,-1.55%,5.03%,7.60%,2.43%,15.95%,1.45%
Expenses,4271,4755,5319,5379,5781,6297,6427,7369,7553
  └─ Material Cost %,62%,63%,61%,63%,68%,69%,67%,66%,67%
    └─ Raw material cost,2883,3434,3886,3846,4040,4719,4454,5220,5403
    └─ Change in inventory,115,-60,-237,-102,151,-136,121,5,-58
  └─ Manufacturing Cost %,1%,1%,2%,1%,2%,2%,2%,2%,0%
  └─ Employee Cost %,9%,9%,10%,11%,10%,10%,11%,11%,11%
  └─ Other Cost %,16%,15%,16%,16%,14%,14%,15%,14%,17%
Operating Profit,561,642,673,521,416,371,403,550,481
OPM %,12%,12%,11%,9%,7%,6%,6%,7%,6%
Other Income,86,107,143,106,398,127,145,198,170
  └─ Exceptional items,-1,1,1,-2,325,-0,-19,8,-29
  └─ Other income normal,87,107,141,108,73,127,164,190,199
Interest,4,9,20,15,16,15,30,45,45
Depreciation,102,111,129,142,147,185,210,213,209
Profit before tax,541,629,667,470,650,297,307,490,397
Tax %,35%,35%,26%,25%,13%,25%,27%,26%,26%
Net Profit,351,410,490,352,567,224,224,363,295
  └─ Minority share,0,0,0,0,-1,-5,-7,-4,-2
  └─ Exceptional items AT,-0,0,1,-1,280,-0,-13,5,-21
  └─ Profit excl Excep,351,409,489,353,287,224,237,357,316
  └─ Profit for PE,351,409,489,353,287,219,229,354,314
  └─ Profit for EPS,351,410,490,352,566,219,217,359,294
  └─ Profit Growth %,,17%,20%,-28%,-19%,-24%,5%,54%,-11%
EPS in Rs,27.64,32.30,38.64,27.73,44.64,17.26,17.11,28.30,23.15
Dividend Payout %,14%,15%,13%,18%,11%,29%,29%,18%,22%
