Metric,Mar 2010,Jun 201115m,Mar 20129m,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Jun 2011,Mar 2012
Sales,2237,3942,1858,2592,1618,1675,1683,1221,995,219,215,221,198,,
  └─ Sales Growth %,15.00%,,,39.50%,-37.57%,3.49%,0.51%,-27.45%,-18.48%,-78.00%,-1.67%,2.58%,,76.24%,
Expenses,1913,3338,1741,2440,1441,2201,2778,1378,1122,633,434,163,196,,
  └─ Material Cost %,58.00%,,,8.43%,15.28%,14.72%,7.32%,-0.11%,0.60%,0.00%,0.00%,0.00%,,67.16%,75.72%
    └─ Raw material cost,1247.49,,,192.88,271.32,221.64,38.28,4.54,0.00,0.00,0.00,0.00,,2789.26,1439.30
    └─ Change in inventory,49.86,,,25.54,-24.12,24.89,85.01,-5.94,5.94,0.00,0.00,0.00,,-141.56,-32.41
  └─ Manufacturing Cost %,6.59%,,,70.56%,52.19%,61.81%,73.87%,73.46%,78.13%,50.40%,33.77%,28.08%,,0.48%,0.56%
  └─ Employee Cost %,11.80%,,,11.45%,16.02%,13.83%,13.12%,11.51%,15.27%,33.11%,34.23%,32.04%,,12.04%,14.37%
  └─ Other Cost %,9.15%,,,3.69%,5.54%,41.06%,70.73%,27.99%,18.73%,205.30%,133.64%,13.82%,,4.98%,3.06%
Operating Profit,324,605,117,152,178,-526,-1095,-157,-127,-414,-219,58,2,,
OPM %,14%,15%,6%,6%,11%,-31%,-65%,-13%,-13%,-189%,-102%,26%,1%,,
Other Income,138,272,-1,40,23,77,-904,34,-718,20,213,14,818,,
  └─ Exceptional items,15.70,,,2.10,-60.37,-358.59,-943.33,0.35,-727.79,0.00,200.74,-21.51,,8.52,4.16
  └─ Other income normal,121.93,,,38.37,83.72,435.80,39.80,33.16,9.89,19.69,12.05,35.02,,263.09,-5.29
Interest,155,486,452,567,582,517,610,547,19,17,19,21,22,,
Depreciation,59,104,102,178,126,133,101,47,17,5,5,5,5,,
Profit before tax,247,286,-438,-552,-508,-1098,-2709,-718,-881,-415,-30,46,793,,
Tax %,16%,26%,4%,1%,6%,0%,0%,-1%,-0%,0%,0%,0%,,,
Net Profit,206,198,-459,-554,-562,-1115,-2868,-994,-454,-415,-30,46,793,,
  └─ Profit from Associates,-0,,,0,-25,-12,-146,-281,426,0,0,0,,-14,-1
  └─ Minority share,0,,,0,0,1,0,0,0,0,0,0,,-0,-0
  └─ Exceptional items AT,13,,,2,-60,-357,-939,0,-728,0,286,-0,,6,4
  └─ Profit excl Excep,193,,,-557,-502,-759,-1929,-994,273,-415,-316,46,,192,-463
  └─ Profit for PE,193,,,-556,-502,-758,-1929,-994,273,-415,-316,46,,192,-463
  └─ Profit for EPS,206,,,-554,-561,-1115,-2868,-994,-454,-415,-30,46,,198,-459
  └─ Profit Growth %,53%,,,-20%,10%,-51%,-154%,48%,127%,-252%,24%,114%,,-1%,
EPS in Rs,21.31,20.38,-47.20,-35.32,-35.69,-70.88,-182.31,-63.19,-28.89,-26.39,-1.91,2.91,50.41,,
Dividend Payout %,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
