Metric,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM
Sales,67,125,87,116,124,97,94,80,126,127,133,164,172
  └─ Sales Growth %,20.67%,86.36%,-30.92%,34.14%,6.36%,-21.53%,-3.59%,-14.04%,56.98%,0.33%,4.94%,23.74%,
Expenses,50,78,74,87,114,100,95,83,112,112,115,140,140
  └─ Material Cost %,0%,0%,12%,2%,1%,0%,0%,0%,0%,0%,0%,0%,
    └─ Raw material cost,0.00,0.60,10.24,1.78,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
    └─ Change in inventory,0.00,-0.30,0.23,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Manufacturing Cost %,2%,2%,5%,2%,24%,29%,5%,4%,1%,1%,3%,2%,
  └─ Employee Cost %,20%,15%,22%,20%,30%,42%,44%,47%,39%,41%,38%,33%,
  └─ Other Cost %,53%,45%,46%,51%,37%,33%,53%,52%,48%,46%,46%,50%,
Operating Profit,17,48,13,29,10,-3,-1,-3,14,14,17,24,32
OPM %,25%,38%,15%,25%,8%,-3%,-2%,-3%,11%,11%,13%,15%,19%
Other Income,2,0,0,1,-8,-2,-1,0,0,1,0,0,3
  └─ Exceptional items,-0.05,-0.01,0.00,-0.35,-8.63,-1.96,-1.11,-0.76,0.10,0.11,0.07,0.12,
  └─ Other income normal,2.14,0.12,0.02,0.94,0.41,0.23,0.30,0.91,0.14,1.15,0.17,0.10,
Interest,3,8,6,3,6,6,5,3,3,8,6,9,20
Depreciation,3,4,5,6,8,8,8,6,6,4,3,2,2
Profit before tax,13,36,2,21,-12,-19,-15,-12,6,4,8,13,13
Tax %,35%,38%,41%,38%,-30%,-7%,0%,0%,-5%,17%,10%,21%,
Net Profit,8,22,1,13,-8,-18,-15,-12,6,3,7,10,10
  └─ Exceptional items AT,-0.04,-0.01,0.00,-0.22,-8.21,-1.96,-1.11,-0.76,0.10,0.09,0.06,0.08,
  └─ Profit excl Excep,8.46,22.03,1.21,12.90,-0.23,-15.87,-14.20,-10.98,5.80,3.24,7.22,9.99,
  └─ Profit for PE,8.46,22.03,1.21,12.90,-0.23,-15.87,-14.20,-10.98,5.80,3.24,7.22,9.99,
  └─ Profit for EPS,8.42,22.02,1.21,12.68,-8.44,-17.83,-15.31,-11.74,5.90,3.33,7.28,10.07,
  └─ Profit Growth %,0.71%,160.40%,-94.51%,966.12%,-101.78%,-6800.00%,10.52%,22.68%,152.82%,-44.14%,122.84%,38.37%,
EPS in Rs,1.52,3.97,0.22,2.29,-1.52,-3.22,-2.76,-2.12,1.06,0.60,1.31,1.79,1.70
Dividend Payout %,26%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
