Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,TTM
Sales,20.49,12.01,12.27,13.23,18.81,17.82
  └─ Sales Growth %,,-41.39%,2.16%,7.82%,42.18%,
Expenses,23.24,14.54,11.60,12.09,17.90,17.02
  └─ Material Cost %,35.97%,39.88%,23.63%,24.19%,27.91%,
    └─ Raw material cost,7.16,4.57,2.92,3.14,5.44,
    └─ Change in inventory,0.21,0.22,-0.02,0.06,-0.19,
  └─ Manufacturing Cost %,42.17%,30.14%,30.07%,30.91%,32.16%,
  └─ Employee Cost %,18.25%,27.14%,18.17%,11.26%,11.86%,
  └─ Other Cost %,17.03%,23.90%,22.66%,25.02%,23.23%,
Operating Profit,-2.75,-2.53,0.67,1.14,0.91,0.80
OPM %,-13.42%,-21.07%,5.46%,8.62%,4.84%,4.49%
Other Income,1.86,1.33,0.71,1.25,3.62,1.59
  └─ Exceptional items,0.09,0.09,-0.69,-1.32,0.24,
  └─ Other income normal,1.77,1.24,1.40,2.57,3.38,
Interest,0.15,0.10,0.06,0.10,0.32,0.07
Depreciation,0.32,0.34,0.34,0.32,0.28,0.29
Profit before tax,-1.36,-1.64,0.98,1.97,3.93,2.03
Tax %,13.97%,-14.63%,-20.41%,-1.52%,15.27%,
Net Profit,-1.55,-1.40,1.18,2.00,3.33,1.75
  └─ Exceptional items AT,0.08,0.09,-0.69,-1.23,0.20,
  └─ Profit excl Excep,-1.63,-1.49,1.87,3.23,3.13,
  └─ Profit for PE,-1.63,-1.49,1.87,3.23,3.13,
  └─ Profit for EPS,-1.55,-1.40,1.18,2.00,3.33,
  └─ Profit Growth %,,8.59%,225.50%,72.73%,-3.10%,
EPS in Rs,-3.60,-3.26,2.74,4.65,7.74,4.08
Dividend Payout %,0.00%,0.00%,0.00%,21.35%,19.23%,
