Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,312,297,346,358,150,253,375,405,436,476
  └─ Sales Growth %,,-5.00%,16.70%,3.30%,-58.04%,68.46%,48.25%,7.93%,7.80%,9.22%
Expenses,317,298,334,301,151,216,298,334,364,393
  └─ Material Cost %,32.31%,32.12%,31.44%,31.72%,30.11%,29.86%,30.40%,30.34%,30.04%,28.91%
    └─ Raw material cost,101,95,109,113,45,76,114,123,131,138
  └─ Manufacturing Cost %,13.11%,13.97%,13.34%,13.46%,16.79%,12.19%,10.51%,9.88%,9.91%,0.00%
  └─ Employee Cost %,27.00%,25.76%,23.64%,22.92%,22.53%,18.43%,19.60%,22.43%,22.42%,21.71%
  └─ Other Cost %,29.19%,28.54%,27.99%,16.05%,31.14%,24.95%,19.09%,19.95%,20.99%,31.94%
Operating Profit,-5,-1,12,57,-1,37,77,70,73,83
OPM %,-2%,-0%,4%,16%,-1%,15%,20%,17%,17%,17%
Other Income,9,6,9,-17,20,13,33,21,19,15
  └─ Exceptional items,0.06,-0.95,2.93,-21.37,4.19,1.72,15.67,5.05,5.21,-3.34
  └─ Other income normal,8.68,7.27,6.53,4.43,16.23,11.48,16.89,16.26,14.03,18.01
Interest,0,0,0,21,16,15,14,15,14,15
Depreciation,33,30,29,57,32,27,32,42,49,56
Profit before tax,-29,-25,-7,-39,-29,8,63,35,29,27
Tax %,-12%,91%,15%,-2%,1%,0%,-53%,15%,23%,24%
Net Profit,-26,-47,-8,-38,-29,8,97,30,22,21
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.62,-0.25,1.10
  └─ Exceptional items AT,0.06,-0.09,2.93,-21.37,4.19,1.72,15.65,4.36,3.96,-2.55
  └─ Profit excl Excep,-25.58,-46.68,-10.74,-16.63,-33.53,6.44,81.14,25.65,18.00,23.27
  └─ Profit for PE,-25.58,-46.68,-10.74,-16.63,-33.53,6.44,81.14,25.12,17.80,24.37
  └─ Profit for EPS,-25.52,-46.77,-7.81,-38.00,-29.34,8.16,96.79,29.39,21.71,21.82
  └─ Profit Growth %,,-82.49%,76.99%,-54.84%,-101.62%,119.21%,1159.94%,-69.04%,-29.16%,36.95%
EPS in Rs,-5.43,-9.96,-1.66,-8.09,-6.25,1.74,20.61,6.11,4.50,4.52
Dividend Payout %,0%,0%,0%,0%,0%,0%,12%,16%,22%,22%
