Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,3747,4606,4376,6297,10394,12658,13195,15138,18552
  └─ Sales Growth %,,22.93%,-4.99%,43.89%,65.06%,21.78%,4.24%,14.72%,22.56%
Expenses,3034,3656,3710,4903,7793,11159,11625,13272,16219
  └─ Material Cost %,63%,60%,61%,61%,61%,71%,72%,72%,72%
    └─ Raw material cost,2425,2811,2781,3784,6493,9212,9625,11343,13826
    └─ Change in inventory,-54,-25,-104,49,-181,-242,-146,-401,-474
  └─ Manufacturing Cost %,10%,11%,15%,10%,8%,11%,10%,10%,0%
  └─ Employee Cost %,3%,3%,4%,3%,2%,2%,3%,3%,3%
  └─ Other Cost %,5%,5%,5%,4%,3%,4%,3%,3%,13%
Operating Profit,714,950,666,1394,2601,1499,1570,1866,2333
OPM %,19%,21%,15%,22%,25%,12%,12%,12%,13%
Other Income,68,73,12,24,59,105,159,231,204
  └─ Exceptional items,-7,2,1,1,-1,22,0,0,0
  └─ Other income normal,74,71,11,23,60,83,159,231,204
Interest,49,64,86,62,23,93,133,144,192
Depreciation,215,195,297,300,272,474,656,711,882
Profit before tax,517,764,295,1055,2364,1037,940,1241,1462
Tax %,-2%,17%,-15%,20%,27%,19%,-9%,27%,28%
Net Profit,528,637,340,844,1724,843,1029,909,1060
  └─ Minority share,-104,-33,0,-0,0,9,6,-1,10
  └─ Exceptional items AT,-5,2,1,1,-1,17,0,0,0
  └─ Profit excl Excep,533,635,339,843,1725,826,1029,909,1060
  └─ Profit for PE,428,603,339,843,1725,836,1035,908,1070
  └─ Profit for EPS,424,604,340,843,1725,853,1035,908,1070
  └─ Profit Growth %,,41%,-44%,148%,105%,-52%,24%,-12%,18%
EPS in Rs,90.83,25.86,14.56,36.10,67.61,33.43,37.07,32.53,38.34
Dividend Payout %,-0%,-0%,-0%,14%,7%,5%,12%,14%,7%
