Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,512,616,713,853,1017,1200,1055
  └─ Sales Growth %,,20.31%,15.66%,19.67%,19.20%,18.01%,-12.10%
Expenses,308,289,443,509,585,694,687
  └─ Material Cost %,25.36%,18.10%,23.01%,21.12%,22.54%,25.46%,23.29%
    └─ Raw material cost,135,151,188,196,241,320,317
    └─ Change in inventory,-5,-39,-24,-16,-12,-15,-71
  └─ Manufacturing Cost %,13.32%,8.92%,12.45%,14.37%,13.08%,11.53%,11.02%
  └─ Employee Cost %,12.15%,11.28%,13.43%,12.95%,12.13%,11.60%,16.77%
  └─ Other Cost %,9.24%,8.57%,13.20%,11.24%,9.76%,9.27%,14.10%
Operating Profit,205,327,270,344,432,506,367
OPM %,40%,53%,38%,40%,42%,42%,35%
Other Income,32,14,23,37,37,44,52
  └─ Exceptional items,23,7,5,4,14,22,-3
  └─ Other income normal,8,7,18,34,23,22,55
Interest,1,1,6,5,3,1,0
Depreciation,21,28,50,54,54,54,74
Profit before tax,214,313,238,322,413,495,345
Tax %,21%,25%,26%,25%,25%,25%,25%
Net Profit,169,235,175,240,308,372,259
  └─ Minority share,0,0,0,0,0,0,2
  └─ Exceptional items AT,17,5,4,3,11,17,-2
  └─ Profit excl Excep,152,230,171,237,298,355,262
  └─ Profit for PE,152,230,171,237,298,355,263
  └─ Profit for EPS,169,235,175,240,308,372,261
  └─ Profit Growth %,,52%,-26%,39%,25%,19%,-26%
EPS in Rs,177.81,247.44,183.93,22.95,29.45,35.52,24.94
Dividend Payout %,22%,0%,3%,30%,30%,25%,30%
