Metric,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2026,Mar 2016
Sales,150,231,172,224,746,686,518,61,208,177,117,152,
  └─ Sales Growth %,25.47%,53.60%,,30.42%,232.63%,-8.12%,-24.52%,-88.21%,241.52%,-15.17%,-34.05%,,14.65%
Expenses,140,217,160,205,646,609,528,58,174,164,119,136,
  └─ Material Cost %,55%,55%,,52%,53%,55%,59%,39%,56%,64%,67%,60%,55%
    └─ Raw material cost,76,140,,111,409,405,322,29,115,106,71,89,89
    └─ Change in inventory,6,-13,,6,-10,-26,-16,-6,0,8,8,2,6
  └─ Manufacturing Cost %,28%,30%,,29%,25%,24%,31%,22%,18%,17%,20%,0%,25%
  └─ Employee Cost %,5%,5%,,6%,4%,5%,7%,13%,6%,7%,10%,9%,5%
  └─ Other Cost %,5%,4%,,5%,4%,4%,4%,21%,3%,4%,4%,20%,8%
Operating Profit,10,13,12,20,100,77,-11,3,34,13,-3,15,
OPM %,7%,6%,7%,9%,13%,11%,-2%,5%,16%,7%,-2%,10%,
Other Income,8,12,8,4,5,7,13,-27,75,2,8,3,
  └─ Exceptional items,0.01,0.01,,0.00,0.31,0.01,0.93,-29.12,9.92,0.02,0.81,0.00,0.01
  └─ Other income normal,8.38,12.31,,3.78,4.65,6.77,12.14,2.30,65.12,2.33,7.63,3.09,7.97
Interest,7,11,9,11,30,33,37,20,16,14,12,0,
Depreciation,7,9,9,11,26,30,29,7,5,4,3,3,
Profit before tax,4,6,1,2,49,20,-64,-50,88,-2,-9,15,
Tax %,-26%,-19%,48%,4%,4%,13%,-2%,-7%,-8%,286%,7%,1%,
Net Profit,5,7,1,2,47,17,-63,-47,96,-9,-10,15,
  └─ Minority share,0.00,0.00,,0.00,-20.03,-8.70,20.88,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,,0.00,0.30,0.01,0.93,-29.12,9.92,0.02,0.81,0.00,0.00
  └─ Profit excl Excep,5.08,6.59,,1.51,47.18,17.46,-64.13,-17.65,85.65,-9.06,-10.77,15.00,0.66
  └─ Profit for PE,5.08,6.59,,1.51,27.28,8.76,-42.94,-17.65,85.65,-9.06,-10.77,15.00,0.66
  └─ Profit for EPS,5.08,6.59,,1.51,27.45,8.77,-42.32,-46.77,95.57,-9.04,-9.96,15.00,0.66
  └─ Profit Growth %,355.28%,29.72%,,128.79%,1706.39%,-67.87%,-589.94%,58.90%,585.27%,-110.58%,-18.87%,,-87.01%
EPS in Rs,3.20,4.15,0.42,0.95,17.28,3.16,-15.23,-16.83,34.39,-3.25,-3.58,5.40,
Dividend Payout %,38%,29%,144%,0%,7%,0%,0%,0%,0%,0%,0%,11%,
