Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2024,Mar 2025,Mar 2026
Revenue,1331,1810,2020,2369,2614,4965,6755,8310
  └─ Sales Growth %,,35.94%,11.60%,17.28%,10.35%,,36.04%,23.03%
Interest,810,1006,1183,1459,1570,3164,4141,4905
Expenses,194,240,431,649,496,85,472,1053
  └─ Manufacturing Cost %,0.13%,3.98%,3.15%,1.87%,2.89%,-0.19%,0.72%,0.00%
  └─ Employee Cost %,2.10%,2.42%,2.20%,1.99%,1.82%,1.47%,1.24%,1.27%
  └─ Other Cost %,12.34%,6.84%,15.97%,23.54%,14.26%,0.43%,5.02%,11.40%
Financing Profit,327,564,406,260,548,1716,2142,2353
Financing Margin %,25%,31%,20%,11%,21%,35%,32%,28%
Other Income,-7,7,-72,3,44,-1,0,28
  └─ Exceptional items,-9.70,0.00,-74.33,0.00,-0.01,-0.64,-0.54,0.00
  └─ Other income normal,2.90,6.64,2.37,3.47,44.42,0.07,0.76,28.48
Depreciation,7,21,23,23,23,30,39,44
Profit before tax,313,549,311,241,570,1685,2104,2338
Tax %,33%,26%,20%,11%,39%,26%,19%,20%
Net Profit,210,405,250,215,346,1252,1698,1874
  └─ Profit from Associates,-0,0,-0,0,-0,0,0,0
  └─ Exceptional items AT,-5,0,-40,0,0,-0,-0,0
  └─ Profit excl Excep,215,405,290,215,346,1253,1699,1874
  └─ Profit for PE,215,405,290,215,346,1253,1699,1874
  └─ Profit for EPS,210,405,250,215,346,1252,1698,1874
  └─ Profit Growth %,,89%,-29%,-26%,61%,,36%,10%
EPS in Rs,267.74,5.17,3.18,2.74,4.41,4.66,6.32,6.67
Dividend Payout %,60%,31%,0%,0%,0%,0%,0%,20%
