Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,295,354,448,1098,463,27,178,968,2393,2085
  └─ Sales Growth %,,19.76%,26.70%,144.89%,-57.80%,-94.26%,568.52%,444.75%,147.07%,-12.86%
Expenses,281,329,434,1055,448,25,181,963,2384,2071
  └─ Material Cost %,95%,92%,97%,96%,95%,91%,100%,99%,100%,99%
    └─ Raw material cost,267,333,430,1041,446,23,177,948,2390,2062
    └─ Change in inventory,13,-7,3,10,-6,1,0,14,-7,3
  └─ Manufacturing Cost %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
  └─ Employee Cost %,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%
  └─ Other Cost %,0%,0%,0%,0%,2%,3%,1%,0%,0%,0%
Operating Profit,14,25,14,43,16,1,-3,5,9,14
OPM %,5%,7%,3%,4%,3%,5%,-2%,1%,0%,1%
Other Income,-0,-0,4,5,10,7,6,8,14,13
  └─ Exceptional items,-0.35,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,0.00,3.58,4.86,10.14,7.48,6.33,7.83,13.81,12.75
Interest,4,2,5,25,5,2,2,2,0,0
Depreciation,-0,-0,0,0,0,0,0,0,0,1
Profit before tax,10,23,13,23,20,7,2,11,22,26
Tax %,23%,16%,21%,22%,24%,18%,23%,17%,12%,24%
Net Profit,8,19,10,18,15,5,1,9,20,19
  └─ Exceptional items AT,-0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,8.30,19.46,9.97,17.51,15.39,5.37,1.20,9.16,19.55,19.48
  └─ Profit for PE,8.30,19.46,9.97,17.51,15.39,5.37,1.20,9.16,19.55,19.48
  └─ Profit for EPS,8.03,19.46,9.97,17.51,15.39,5.37,1.20,9.16,19.55,19.48
  └─ Profit Growth %,,134.46%,-48.77%,75.63%,-12.11%,-65.11%,-77.65%,663.33%,113.43%,-0.36%
EPS in Rs,5.89,14.28,7.32,12.85,11.30,3.94,0.88,6.72,14.35,14.30
Dividend Payout %,-0%,-0%,-0%,-0%,4%,25%,57%,15%,7%,7%
