Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,766,835,950,917,1022,1260,1386,1639,1653,1894
  └─ Sales Growth %,,9.11%,13.78%,-3.48%,11.40%,23.24%,10.08%,18.25%,0.83%,14.59%
Expenses,667,729,841,825,865,1117,1233,1485,1524,1758
  └─ Material Cost %,47%,50%,50%,50%,46%,49%,52%,51%,50%,52%
    └─ Raw material cost,377,415,510,448,479,643,732,837,845,1005
    └─ Change in inventory,-15,6,-33,11,-5,-28,-10,-5,-18,-16
  └─ Manufacturing Cost %,7%,7%,7%,7%,7%,9%,10%,9%,11%,0%
  └─ Employee Cost %,16%,15%,15%,16%,15%,14%,14%,15%,17%,17%
  └─ Other Cost %,17%,15%,16%,17%,17%,17%,13%,15%,15%,23%
Operating Profit,99,106,109,92,157,143,153,155,129,136
OPM %,13%,13%,12%,10%,15%,11%,11%,9%,8%,7%
Other Income,4,4,4,-10,19,16,13,18,17,5
  └─ Exceptional items,0.29,-0.03,-0.03,-17.03,-0.33,0.54,-0.62,0.76,0.04,-5.23
  └─ Other income normal,3.84,4.38,4.35,7.00,19.33,15.23,13.57,17.58,17.26,9.79
Interest,5,4,4,4,3,3,5,11,14,16
Depreciation,44,44,46,48,49,51,56,64,73,80
Profit before tax,55,63,64,30,124,104,106,98,60,45
Tax %,8%,25%,21%,35%,47%,25%,25%,17%,28%,23%
Net Profit,50,47,50,19,66,77,79,82,43,35
  └─ Minority share,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.22,-0.03,-0.02,-11.06,-0.17,0.36,-0.46,0.49,0.03,-2.31
  └─ Profit excl Excep,49.74,47.15,50.48,30.52,65.76,77.12,79.67,81.18,42.95,37.01
  └─ Profit for PE,49.75,47.15,50.48,30.52,65.76,77.12,79.67,81.18,42.95,37.01
  └─ Profit for EPS,49.97,47.12,50.46,19.46,65.59,77.48,79.21,81.67,42.98,34.70
  └─ Profit Growth %,,-5.23%,7.06%,-39.54%,115.47%,17.27%,3.31%,1.90%,-47.09%,-13.83%
EPS in Rs,86.16,6.54,7.00,2.70,9.10,10.75,10.99,11.33,5.96,4.81
Dividend Payout %,1%,15%,18%,46%,55%,33%,32%,31%,59%,45%
