Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1067,1110,1471,1633,1686,1726,1829
  └─ Sales Growth %,,4.01%,32.50%,11.03%,3.23%,2.37%,6.00%
Expenses,994,1029,1367,1511,1540,1605,1744
  └─ Material Cost %,0%,0%,87%,0%,0%,0%,0%
    └─ Raw material cost,0.00,0.00,1280.41,0.00,0.00,0.00,0.00
  └─ Manufacturing Cost %,87%,87%,0%,87%,85%,86%,0%
  └─ Employee Cost %,3%,2%,3%,3%,3%,3%,3%
  └─ Other Cost %,4%,4%,3%,3%,3%,4%,92%
Operating Profit,73,81,104,122,146,121,85
OPM %,7%,7%,7%,7%,9%,7%,5%
Other Income,6,4,5,5,6,13,15
  └─ Exceptional items,0.00,-0.02,0.01,0.00,0.12,0.00,0.00
  └─ Other income normal,6.25,3.79,4.91,4.79,5.64,13.21,14.55
Interest,14,13,14,16,22,22,18
Depreciation,14,12,12,15,21,24,28
Profit before tax,52,60,83,96,108,88,53
Tax %,31%,26%,27%,26%,26%,26%,26%
Net Profit,36,45,61,72,80,65,39
  └─ Minority share,0.01,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,-0.01,0.01,0.00,0.09,0.00,0.00
  └─ Profit excl Excep,35.85,44.54,61.12,71.57,80.26,65.13,38.82
  └─ Profit for PE,35.86,44.54,61.12,71.57,80.26,65.13,38.82
  └─ Profit for EPS,35.86,44.53,61.13,71.57,80.35,65.13,38.82
  └─ Profit Growth %,,24.21%,37.22%,17.10%,12.14%,-18.85%,-40.40%
EPS in Rs,9.11,11.32,15.54,9.09,10.21,6.39,3.81
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%
