Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,918,933,880,867,796,545,669,713,704,733,740
  └─ Sales Growth %,,1.69%,-5.70%,-1.46%,-8.24%,-31.46%,22.69%,6.60%,-1.31%,4.09%,0.92%
Expenses,656,728,699,821,696,538,659,800,778,765,627
  └─ Material Cost %,37.75%,37.43%,40.69%,46.38%,35.40%,31.94%,36.47%,44.03%,35.76%,28.36%,29.67%
    └─ Raw material cost,346,349,358,402,282,173,244,314,252,208,220
    └─ Change in inventory,-0,-0,-0,-0,-1,1,-0,-0,-0,0,-0
  └─ Manufacturing Cost %,11.27%,18.89%,18.22%,18.96%,19.98%,22.07%,19.77%,25.48%,29.03%,26.93%,0.00%
  └─ Employee Cost %,10.42%,10.07%,10.65%,12.89%,15.82%,24.06%,22.81%,22.51%,24.06%,24.61%,18.97%
  └─ Other Cost %,12.04%,11.59%,9.86%,16.44%,16.29%,20.62%,19.41%,20.18%,21.59%,24.46%,36.17%
Operating Profit,262,206,181,46,99,7,10,-87,-73,-32,112
OPM %,29%,22%,21%,5%,12%,1%,2%,-12%,-10%,-4%,15%
Other Income,33,92,92,88,109,117,76,78,106,140,-17
  └─ Exceptional items,-28,-0,0,1,-0,-1,3,4,3,3,-109
  └─ Other income normal,61,92,92,87,109,118,74,74,103,137,92
Interest,11,16,11,18,9,9,9,16,13,7,8
Depreciation,22,20,20,21,31,30,30,31,27,21,17
Profit before tax,262,261,243,96,168,85,47,-56,-8,81,70
Tax %,32%,26%,24%,-13%,29%,14%,9%,-28%,-231%,3%,31%
Net Profit,179,190,175,108,116,69,41,-38,10,78,49
  └─ Profit from Associates,0,-4,-9,0,-3,-4,-2,2,0,0,0
  └─ Exceptional items AT,-19,-0,0,1,-0,-1,2,4,3,3,-107
  └─ Profit excl Excep,197,190,175,108,116,70,38,-42,7,75,155
  └─ Profit for PE,197,190,175,108,116,70,38,-42,7,75,155
  └─ Profit for EPS,179,190,175,108,116,69,41,-38,10,78,49
  └─ Profit Growth %,,-4%,-8%,-39%,8%,-40%,-45%,-209%,117%,971%,108%
EPS in Rs,24.35,25.82,23.88,14.77,15.79,9.43,5.51,-5.17,1.35,10.56,6.61
Dividend Payout %,5%,5%,5%,8%,0%,0%,0%,0%,0%,0%,0%
