Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,205,181,272,331,327,334,311
  └─ Sales Growth %,,-11.59%,50.21%,22.01%,-1.23%,2.16%,-6.98%
Expenses,149,157,215,221,273,290,284
  └─ Material Cost %,18.04%,23.81%,29.60%,21.03%,29.99%,29.80%,33.11%
    └─ Raw material cost,38,43,81,73,96,109,98
    └─ Change in inventory,-1,-0,-1,-4,2,-10,5
  └─ Manufacturing Cost %,37.98%,43.87%,35.70%,32.33%,38.53%,40.82%,36.11%
  └─ Employee Cost %,10.01%,10.27%,8.79%,7.64%,8.56%,8.32%,8.46%
  └─ Other Cost %,6.86%,8.99%,5.01%,5.59%,6.20%,7.81%,13.57%
Operating Profit,55,24,57,111,55,44,27
OPM %,27%,13%,21%,33%,17%,13%,9%
Other Income,-0,1,6,2,9,-3,9
  └─ Exceptional items,-2.93,0.01,0.12,-3.35,0.27,-9.26,0.00
  └─ Other income normal,2.83,1.41,5.58,5.50,8.27,6.49,8.69
Interest,4,3,1,1,2,6,8
Depreciation,25,20,22,23,22,36,28
Profit before tax,27,2,39,89,39,-0,-0
Tax %,5%,500%,26%,28%,33%,2210%,1615%
Net Profit,25,-8,29,65,26,-7,-3
  └─ Exceptional items AT,-2,-0,0,-2,0,-16,0
  └─ Profit excl Excep,27,-8,29,67,26,9,-3
  └─ Profit for PE,27,-8,29,67,26,9,-3
  └─ Profit for EPS,25,-8,29,65,26,-7,-3
  └─ Profit Growth %,,-130%,454%,134%,-61%,-66%,-138%
EPS in Rs,18.26,-5.78,20.34,45.54,18.50,-4.83,-2.39
Dividend Payout %,7%,-0%,6%,3%,7%,-26%,-52%
