Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,4590,4254,4697,6662,4985,4584,4811,4889,4639,4826,4462
  └─ Sales Growth %,,-7.33%,10.40%,41.86%,-25.17%,-8.05%,4.95%,1.64%,-5.12%,4.04%,-7.54%
Expenses,4326,4011,4414,6325,4780,4281,4560,4515,4379,4519,4324
  └─ Material Cost %,67%,65%,66%,71%,67%,65%,68%,69%,70%,68%,68%
    └─ Raw material cost,3120,2772,3104,4939,3241,3266,3274,3409,3080,3266,2863
    └─ Change in inventory,-32,-15,0,-219,89,-271,17,-47,181,29,183
  └─ Manufacturing Cost %,7%,8%,8%,8%,8%,7%,5%,2%,2%,3%,0%
  └─ Employee Cost %,6%,8%,7%,5%,8%,9%,8%,7%,8%,8%,9%
  └─ Other Cost %,13%,13%,13%,11%,13%,13%,13%,14%,14%,15%,20%
Operating Profit,264,243,283,338,205,303,250,375,260,307,138
OPM %,6%,6%,6%,5%,4%,7%,5%,8%,6%,6%,3%
Other Income,46,30,-26,65,46,95,55,46,82,76,-29
  └─ Exceptional items,0,2,-77,-0,0,48,-2,7,-2,29,-91
  └─ Other income normal,45,29,52,65,46,47,57,39,83,47,62
Interest,108,80,59,118,171,76,70,44,63,70,56
Depreciation,27,30,34,44,74,75,69,74,110,144,142
Profit before tax,174,163,164,241,7,246,166,303,168,170,-89
Tax %,38%,37%,49%,36%,244%,23%,25%,29%,22%,21%,2%
Net Profit,108,102,84,154,-10,189,124,216,131,133,-91
  └─ Minority share,0,0,0,3,1,2,4,0,0,0,0
  └─ Exceptional items AT,0,1,-30,-0,-0,37,-2,4,2,21,-73
  └─ Profit excl Excep,108,101,114,154,-10,152,126,212,129,113,-18
  └─ Profit for PE,108,101,114,157,-9,154,130,212,129,113,-18
  └─ Profit for EPS,108,102,84,156,-9,191,129,216,131,133,-91
  └─ Profit Growth %,,-6%,12%,38%,-106%,1823%,-15%,63%,-39%,-13%,-116%
EPS in Rs,9.62,9.08,7.39,13.76,-0.82,16.64,11.19,18.78,11.38,11.57,-7.87
Dividend Payout %,26%,28%,43%,23%,0%,0%,27%,21%,26%,26%,-38%
