Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,786,1154,1745,3548,6295
  └─ Sales Growth %,,47%,51%,103%,77%
Expenses,765,1117,1668,3351,5861
  └─ Material Cost %,96%,96%,94%,93%,92%
    └─ Raw material cost,774,1115,1822,3393,6100
    └─ Change in inventory,-17,-11,-181,-96,-337
  └─ Manufacturing Cost %,0%,0%,0%,0%,0%
  └─ Employee Cost %,0%,0%,1%,1%,1%
  └─ Other Cost %,0%,0%,0%,0%,1%
Operating Profit,20,37,78,197,434
OPM %,3%,3%,4%,6%,7%
Other Income,11,1,4,33,36
  └─ Exceptional items,10.16,0.00,0.95,19.29,0.00
  └─ Other income normal,0.40,0.96,2.79,13.67,36.40
Interest,8,11,21,45,79
Depreciation,1,1,6,11,13
Profit before tax,22,25,54,174,379
Tax %,22%,26%,25%,24%,26%
Net Profit,17,19,40,133,282
  └─ Minority share,0,0,0,0,-7
  └─ Exceptional items AT,8,0,1,15,0
  └─ Profit excl Excep,9,19,40,118,282
  └─ Profit for PE,9,19,40,118,275
  └─ Profit for EPS,17,19,40,133,275
  └─ Profit Growth %,,106%,114%,197%,133%
EPS in Rs,1.58,1.73,3.06,9.04,17.78
Dividend Payout %,0%,12%,3%,0%,0%
