Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,3560,4041,4357,4429,5183
  └─ Sales Growth %,,13.50%,7.83%,1.65%,17.02%
Expenses,3107,3598,3894,3945,4673
  └─ Material Cost %,61%,66%,65%,65%,66%
    └─ Raw material cost,2222,2688,2854,2878,3463
    └─ Change in inventory,-35,-25,-18,-20,-65
  └─ Manufacturing Cost %,11%,10%,10%,10%,0%
  └─ Employee Cost %,7%,7%,8%,9%,8%
  └─ Other Cost %,8%,6%,6%,6%,16%
Operating Profit,453,443,464,484,510
OPM %,13%,11%,11%,11%,10%
Other Income,13,12,487,3,3
  └─ Exceptional items,0.61,-0.05,474.26,-0.14,0.00
  └─ Other income normal,12.42,12.40,12.50,3.17,3.18
Interest,85,84,103,117,123
Depreciation,77,80,104,111,136
Profit before tax,304,291,743,259,254
Tax %,32%,33%,9%,25%,25%
Net Profit,205,194,675,195,190
  └─ Exceptional items AT,0,-0,414,-0,0
  └─ Profit excl Excep,205,194,260,195,190
  └─ Profit for PE,205,194,260,195,190
  └─ Profit for EPS,205,194,675,195,190
  └─ Profit Growth %,,-5%,34%,-25%,-3%
EPS in Rs,13.16,12.38,42.99,12.44,12.10
Dividend Payout %,6%,8%,2%,10%,0%
