Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,590,698,773,1094,1429,1625,2061,2315
  └─ Sales Growth %,,18.27%,10.77%,41.41%,30.69%,13.67%,26.85%,12.34%
Expenses,535,601,582,836,1070,1289,1706,1912
  └─ Manufacturing Cost %,12%,12%,11%,14%,12%,10%,8%,0%
  └─ Employee Cost %,65%,63%,59%,57%,56%,63%,66%,67%
  └─ Other Cost %,14%,11%,6%,5%,6%,7%,9%,15%
Operating Profit,55,97,191,258,359,336,354,403
OPM %,9%,14%,25%,24%,25%,21%,17%,17%
Other Income,-1,5,24,31,15,99,89,66
  └─ Exceptional items,-13,-11,0,-6,-6,14,-12,-19
  └─ Other income normal,11,16,24,37,21,85,101,85
Interest,16,8,7,10,22,42,99,97
Depreciation,25,20,23,33,42,58,89,88
Profit before tax,13,74,186,246,310,335,255,284
Tax %,-9%,3%,13%,26%,25%,26%,28%,25%
Net Profit,14,72,162,181,231,248,185,213
  └─ Exceptional items AT,-13,-11,0,-4,-5,10,-8,-13
  └─ Profit excl Excep,27,83,162,186,236,238,193,226
  └─ Profit for PE,27,83,162,186,236,238,193,226
  └─ Profit for EPS,14,72,162,181,231,248,185,213
  └─ Profit Growth %,,208%,96%,14%,27%,1%,-19%,17%
EPS in Rs,3.82,14.52,11.06,12.34,15.73,16.31,12.13,13.96
Dividend Payout %,0%,0%,26%,30%,34%,35%,49%,45%
