Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity,413,393,473,476,549,596,1438,980,821,1516,1548,1739
  └─ Profit from operations,558,591,637,741,825,881,1142,1340,1446,1651,1923,2097
  └─ Receivables,-85,-150,-93,-127,-238,-161,252,-368,-588,-22,-435,-160
  └─ Payables,54,74,73,37,122,33,188,210,205,144,372,170
  └─ Working capital changes,-31,-76,-20,-90,-117,-127,441,-158,-382,122,-63,10
  └─ Direct taxes,-114,-122,-145,-175,-159,-157,-145,-202,-244,-258,-312,-368
Cash from Investing Activity,119,14,-197,-95,-8,-1001,-416,-210,13,-284,-663,-914
  └─ Fixed assets purchased,-60,-137,-222,-96,-61,-130,-74,-109,-119,-64,-133,-168
  └─ Fixed assets sold,0,0,0,0,0,0,33,1,0,1,2,4
  └─ Investments purchased,-2487,-941,-716,-377,-329,-112,-30,-460,-780,-620,-1705,-1405
  └─ Investments sold,2639,1085,738,377,338,122,1,341,905,378,1970,1272
  └─ Interest received,14,2,1,1,5,7,6,3,1,6,24,45
  └─ Dividends received,13,5,1,1,1,0,0,0,0,0,0,0
  └─ Invest in subsidiaries,0,0,-2,0,0,0,0,0,0,0,0,0
  └─ Acquisition of companies,0,0,0,0,0,0,-359,0,0,0,0,0
  └─ Other investing items,0,0,2,-1,37,-889,6,14,6,16,-821,-663
Cash from Financing Activity,-535,-314,-249,-280,-250,-169,-242,-602,-721,-750,-682,-831
  └─ Proceeds from shares,5,3,1,1,0,0,0,0,0,0,0,60
  └─ Proceeds from borrowings,0,0,0,0,0,141,51,0,121,0,293,0
  └─ Repayment of borrowings,0,0,0,0,0,0,0,-194,-41,-84,-293,0
  └─ Interest paid fin,-0,-0,-0,-0,-0,-5,-16,-6,-6,-14,-14,-24
  └─ Dividends paid,-540,-317,-251,-143,-251,-305,-209,-241,-664,-531,-531,-700
  └─ Financial liabilities,0,0,0,0,0,0,-68,-92,-86,-103,-137,-167
  └─ Other financing items,0,0,0,-138,0,0,0,-69,-46,-19,0,0
Net Cash Flow,-3,93,26,102,290,-573,780,167,113,482,203,-6
  └─ Free Cash Flow,353,257,251,381,488,467,1397,871,702,1452,1417,1576
  └─ CFO/OP,118%,95%,107%,99%,96%,86%,151%,104%,87%,113%,101%,110%
