Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity,1291,1238,1567,868,1706,2240,1823,834,1036,3063,1943,897
  └─ Profit from operations,1055,1454,1579,2260,2082,1665,1763,2362,3638,1756,1381,2236
  └─ Receivables,-23,144,135,-636,70,527,-37,-580,-610,328,448,-123
  └─ Inventory,373,-107,362,-733,-298,641,178,-971,-1782,1391,78,-298
  └─ Payables,17,-165,-203,446,277,-354,91,769,27,-253,165,-431
  └─ Loans Advances,42,69,0,0,0,0,0,0,0,0,0,0
  └─ Operating investments,0,0,-2,-69,20,56,71,-344,278,89,0,0
  └─ Other WC items,0,0,0,0,0,0,0,0,42,97,124,-239
  └─ Working capital changes,408,-59,292,-992,70,871,303,-1125,-2045,1652,815,-1092
  └─ Direct taxes,-172,-157,-304,-400,-446,-296,-243,-403,-557,-344,-253,-247
Cash from Investing Activity,-382,-531,-504,-539,-1038,-1265,-798,-510,-576,-711,-257,-267
  └─ Fixed assets purchased,-399,-499,-483,-457,-1163,-1194,-1081,-548,-669,-596,-653,-461
  └─ Fixed assets sold,5,6,4,17,10,2,21,41,3,2,4,4
  └─ Investments purchased,-20,0,0,-20,0,-26,0,0,0,0,0,0
  └─ Investments sold,6,6,14,18,1,0,26,0,3,1,0,0
  └─ Interest received,9,17,13,11,17,35,28,42,50,128,135,109
  └─ Dividends received,1,1,1,0,0,1,1,0,0,0,0,0
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,643,4,0,0,0,0
  └─ Inter corporate deposits,0,0,0,0,-40,-0,-207,-64,195,117,0,0
  └─ Other investing items,15,-62,-52,-109,137,-83,-229,14,-156,-363,258,80
Cash from Financing Activity,-883,-795,-887,-520,-619,-653,-600,-740,-396,-2115,-1771,-1025
  └─ Proceeds from borrowings,121,406,211,4004,3337,0,139,172,515,7021,0,879
  └─ Repayment of borrowings,-240,-580,-455,-3848,-3342,-120,-77,-265,-180,-8193,-364,-594
  └─ Interest paid fin,-683,-577,-587,-639,-541,-437,-453,-452,-520,-811,-929,-909
  └─ Dividends paid,-34,-40,-51,-34,-67,-75,-70,-34,-107,-34,-347,-155
  └─ Financial liabilities,0,0,0,0,0,-15,-129,-126,-90,-88,-131,-247
  └─ Other financing items,-48,-5,-5,-4,-6,-5,-10,-36,-14,-10,0,0
Net Cash Flow,26,-88,176,-192,49,322,425,-417,65,237,-84,-395
  └─ Free Cash Flow,897,745,1087,428,552,1048,763,327,369,2470,1294,441
  └─ CFO/OP,121%,103%,122%,56%,109%,171%,123%,52%,45%,365%,172%,54%
