Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2014
Cash from Operating Activity,0.80,,0.05,0.06,0.00,-6.32,0.00,0.00,0.01,-0.12,-0.02,1.77,
  └─ Profit from operations,0.88,,0.21,-0.09,0.00,0.21,-0.11,-0.11,0.34,0.03,0.04,-0.04,1.51
  └─ Receivables,-0.54,,0.44,-0.07,0.00,-0.15,0.14,0.14,-0.25,9.15,-2.00,1.82,-0.03
  └─ Payables,-0.07,,-0.04,0.01,0.00,-0.17,0.37,0.01,-0.37,-0.07,1.74,-0.05,-0.14
  └─ Loans Advances,0.18,,0.02,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43
  └─ Operating borrowings,0.00,,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,0.38,,-0.57,0.14,0.00,-6.10,-0.40,-0.03,0.28,-9.22,0.21,0.04,-0.19
  └─ Working capital changes,-0.05,,-0.15,0.15,0.00,-6.52,0.12,0.11,-0.34,-0.14,-0.04,1.82,0.07
  └─ Direct taxes,-0.03,,0.00,0.00,0.00,-0.02,-0.01,0.00,0.00,-0.01,-0.01,0.00,-0.02
Cash from Investing Activity,-0.60,,0.00,0.00,0.00,6.24,0.00,0.00,0.00,0.11,0.00,0.00,
  └─ Fixed assets purchased,-0.59,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04
  └─ Fixed assets sold,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35
  └─ Capital WIP,0.02,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.47
  └─ Investments sold,0.00,,0.00,0.00,0.00,6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.01,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
  └─ Other investing items,-0.04,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,-0.85
Cash from Financing Activity,-0.20,,-0.07,-0.07,0.00,0.00,0.00,0.00,0.01,0.02,-0.02,0.01,
  └─ Proceeds from borrowings,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.00,0.01,0.00
  └─ Repayment of borrowings,-0.01,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.02,0.00,-0.35
  └─ Interest paid fin,-0.19,,-0.03,-0.02,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,-0.23
  └─ Other financing items,0.00,,-0.04,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,0.00,,-0.02,-0.01,0.00,-0.08,0.00,0.00,0.02,0.00,-0.04,1.78,
  └─ Free Cash Flow,0.23,,0.05,0.06,0.00,-6.32,0.00,0.00,0.01,-0.12,-0.02,1.77,
  └─ CFO/OP,117%,,31%,-60%,0%,-63000%,-9%,0%,10%,14%,-25%,-2529%,
