Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,37,44,38,-19,10,11,35,36,44,-56,40
  └─ Profit from operations,34,33,45,42,29,58,33,18,46,-22,-19
  └─ Receivables,2,-5,-40,-11,20,-35,56,-31,-7,43,31
  └─ Inventory,4,-7,2,-13,-26,0,-29,29,-9,-20,56
  └─ Payables,6,5,32,-2,14,-6,-4,10,4,-8,-27
  └─ Loans Advances,0,0,-1,0,0,0,0,0,0,0,0
  └─ Other WC items,0,30,13,-23,-22,4,-14,13,14,-12,-0
  └─ Working capital changes,12,23,5,-48,-13,-37,9,21,1,2,60
  └─ Direct taxes,-9,-12,-12,-13,-7,-10,-7,-4,-4,-36,-1
Cash from Investing Activity,-21,-20,-12,-7,1,5,-35,-28,-38,80,17
  └─ Fixed assets purchased,-42.43,-33.62,-26.59,-20.52,-13.95,-10.39,-51.89,-30.87,-44.72,-41.66,-28.04
  └─ Fixed assets sold,20.77,0.17,0.25,0.06,0.00,0.44,6.56,1.25,1.28,0.41,2.03
  └─ Investments purchased,0.00,0.00,0.00,0.00,0.00,0.00,-0.83,0.00,0.00,-101.30,0.00
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,39.55
  └─ Interest received,0.00,13.00,13.19,15.49,13.99,17.08,10.75,1.74,5.19,223.02,3.27
  └─ Invest in subsidiaries,-9.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,10.50,0.50,1.07,-1.96,1.31,-2.45,0.00,0.00,0.00,0.00,0.00
Cash from Financing Activity,-11,-30,-18,29,-9,-10,-20,-9,-9,-19,-58
  └─ Proceeds from borrowings,0.00,7.15,0.00,46.54,18.02,27.35,20.63,16.56,20.31,0.00,4.33
  └─ Repayment of borrowings,0.00,-20.09,-0.21,0.00,-4.59,-23.08,-20.10,-8.59,-12.21,-86.94,-22.80
  └─ Interest paid fin,0.00,-5.65,-6.01,-10.13,-14.20,-12.76,-10.77,-11.17,-13.75,-3.18,-2.59
  └─ Dividends paid,-11.25,-11.28,0.00,0.00,0.00,0.00,0.00,-6.20,-3.75,-3.75,-3.75
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,-0.01,-0.03,0.00,-1.06
  └─ Other financing items,0.00,0.00,-11.28,-7.76,-8.48,-1.88,-9.38,0.00,0.00,75.08,-32.37
Net Cash Flow,5,-6,8,2,2,5,-20,-1,-4,6,-1
  └─ Free Cash Flow,16,11,11,-40,-4,1,-10,6,0,-97,14
  └─ CFO/OP,188%,182%,118%,-15%,27%,37%,160%,270%,116%,90%,-226%
