Metric,Mar 2010,Jun 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Cash from Operating Activity,362,127,-1938,-17,467,330,80,76,140,92,83,63
  └─ Profit from operations,154,596,154,169,205,-24,68,176,61,33,-26,61
  └─ Receivables,61,-645,-303,33,203,50,-21,-38,5,37,0,-0
  └─ Inventory,50,-143,-38,28,-8,23,32,-4,-4,9,0,0
  └─ Payables,-257,693,-788,-210,-170,71,4,15,-29,73,116,19
  └─ Loans Advances,288,-430,-873,-137,292,85,-22,-22,22,-13,-2,-15
  └─ Other WC items,-43,56,-53,121,-54,6,38,-35,91,-47,-1,3
  └─ Working capital changes,99,-468,-2055,-165,264,235,30,-83,84,59,113,7
  └─ Interest paid,155,0,0,0,0,0,0,0,0,0,0,0
  └─ Direct taxes,-46,-2,-38,-20,-2,20,-18,-16,-4,0,-5,-4
  └─ Other operating items,0,1,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional CF items,0,0,0,0,0,99,0,0,0,0,0,0
Cash from Investing Activity,-1134,-2207,-116,-26,92,7,41,21,-11,2,7,-0
  └─ Fixed assets purchased,-85.37,-589.56,-89.81,-67.54,-37.48,-25.80,-3.07,-5.04,-4.20,-7.18,-1.08,-1.87
  └─ Fixed assets sold,39.84,1.88,1.89,9.57,0.72,0.77,0.43,0.38,0.07,0.00,0.36,0.00
  └─ Investments purchased,-29003.28,-24603.27,-478.68,-466.47,-74.61,-818.45,-139.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,28968.73,22727.04,342.45,468.36,49.00,852.19,162.80,0.00,0.00,0.00,0.00,0.00
  └─ Subsidy received,0.00,0.00,0.00,11.39,7.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,66.06,250.77,0.00,0.00,0.00,0.00,8.40,9.94,2.85,0.90,0.76,1.33
  └─ Dividends received,0.00,0.00,23.62,-1.23,11.73,4.26,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,-1120.04,6.21,84.14,19.70,134.78,-6.35,11.48,15.82,-9.71,8.56,7.13,0.07
Cash from Financing Activity,1305,1300,1391,56,-496,-395,-140,-78,-212,-105,-103,-64
  └─ Proceeds from shares,37,12,-7,16,0,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,2310,1793,0,0,0,166,22,6,0,0,0,0
  └─ Repayment of borrowings,-860,0,0,0,0,-348,-27,-16,-139,-106,-20,-140
  └─ Proceeds from deposits,0,0,0,0,0,0,0,6,10,4,0,78
  └─ Interest paid fin,-146,-466,-162,-350,-307,-226,-3,-7,-0,-3,-1,-1
  └─ Dividends paid,-28,-29,0,0,0,0,0,0,0,0,0,0
  └─ Financial liabilities,0,0,0,0,0,0,0,0,0,0,-1,-1
  └─ Other financing items,-8,-10,1560,390,-189,13,-133,-68,-83,0,-81,0
Net Cash Flow,532,-780,-664,13,63,-58,-18,19,-83,-10,-14,-1
  └─ Free Cash Flow,316,-461,-2026,-75,430,305,78,71,136,85,82,62
  └─ CFO/OP,126%,21%,-1623%,3%,264%,-59%,-9%,-59%,-114%,-22%,-40%,117%
