Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,127,97,100,110,62,305,317,114,329,370,386,334
  └─ Profit from operations,232,117,163,162,164,249,304,244,440,554,643,556
  └─ Receivables,-1,-23,-80,-159,-109,60,2,-67,-30,-51,-24,-167
  └─ Inventory,-57,-44,-84,-90,-96,1,13,-41,-70,-138,-1,-19
  └─ Payables,-15,97,57,97,98,-146,13,40,27,62,-59,181
  └─ Loans Advances,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,0,-28,39,113,24,176,20,-20,29,69,-13,-84
  └─ Working capital changes,-74,2,-68,-39,-84,92,48,-88,-44,-59,-97,-89
  └─ Direct taxes,-31,-22,5,-14,-18,-36,-36,-41,-67,-126,-160,-133
Cash from Investing Activity,-134,-47,-35,-44,-57,-172,-145,-183,-73,-166,-236,-209
  └─ Fixed assets purchased,-133,-65,-44,-52,-74,-145,-76,-82,-133,-112,-90,-135
  └─ Fixed assets sold,4,2,1,0,9,7,5,18,13,1,1,5
  └─ Investments purchased,-10,0,-0,-413,-298,-255,-835,-673,-824,-1262,-1968,-2410
  └─ Investments sold,0,2,0,414,298,210,756,550,853,1184,1790,2297
  └─ Interest received,2,4,11,5,8,10,6,4,13,15,30,32
  └─ Dividends received,4,11,0,0,0,1,0,1,2,2,1,2
  └─ Loans to subsidiaries,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Acquisition of companies,0,0,0,0,0,0,0,0,0,0,-5,0
  └─ Other investing items,-1,-1,-1,1,-0,-0,-1,-2,3,5,3,0
Cash from Financing Activity,-2,-50,-58,-52,-23,125,-315,30,-169,-159,-92,-44
  └─ Proceeds from shares,20,0,0,0,0,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,0,0,0,0,301,512,167,303,150,87,63,112
  └─ Repayment of borrowings,0,0,0,0,-268,-313,-445,-228,-272,-184,-87,-56
  └─ Interest paid fin,-41,-40,-34,-28,-32,-30,-33,-21,-23,-12,-4,-18
  └─ Dividends paid,-25,-25,-1,-10,-25,-43,-4,-24,-24,-36,-47,-55
  └─ Financial liabilities,0,0,0,0,0,0,0,0,0,-14,-16,-26
  └─ Other financing items,44,15,-23,-14,0,0,0,0,0,0,0,0
Net Cash Flow,-9,-0,8,14,-19,259,-143,-39,87,45,57,81
  └─ Free Cash Flow,-2,34,56,58,-3,168,245,50,209,259,297,204
  └─ CFO/OP,82%,159%,100%,82%,62%,165%,146%,76%,99%,95%,90%,86%
