Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-1,13,10,-11,-37,15,-2,-8
  └─ Profit from operations,,13.86,-5.36,6.99,10.60,7.41,6.33,14.63,17.32
  └─ Receivables,,-12.76,12.62,-6.90,-1.73,-3.16,-20.30,-8.97,-18.79
  └─ Payables,,4.16,10.70,14.49,-8.24,-7.21,19.10,-20.56,-6.13
  └─ Loans Advances,,-0.72,-0.36,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,,-4.07,-4.95,-3.18,-1.90,-28.31,-1.61,7.28,1.38
  └─ Working capital changes,,-13.40,18.00,4.41,-11.88,-38.68,-2.81,-22.25,-23.54
  └─ Direct taxes,,-1.57,0.13,-1.63,-9.25,-5.58,11.48,5.18,-1.92
Cash from Investing Activity,,-8,-1,-1,-4,-3,-6,1,4
  └─ Fixed assets purchased,,-5.03,-1.14,-0.79,-5.31,-2.63,0.00,-2.63,-0.49
  └─ Fixed assets sold,,0.36,0.00,0.00,0.00,0.00,1.41,1.02,0.59
  └─ Investments purchased,,-3.87,-0.42,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,,0.00,0.13,0.19,0.37,0.37,0.00,0.00,0.00
  └─ Interest received,,0.32,0.66,0.82,0.46,0.70,0.60,1.07,2.90
  └─ Other investing items,,0.49,-0.21,-0.77,0.78,-1.62,-8.43,1.78,1.38
Cash from Financing Activity,,10,-11,-10,14,43,-11,1,4
  └─ Proceeds from shares,,0.27,0.00,0.00,0.00,37.70,0.00,0.00,0.00
  └─ Proceeds from borrowings,,14.06,1.19,3.72,18.05,10.70,0.14,9.40,10.51
  └─ Repayment of borrowings,,-0.52,-7.40,-9.97,0.00,0.00,-5.02,-0.77,0.00
  └─ Interest paid fin,,-3.36,-4.46,-3.75,-3.75,-5.29,-5.59,-7.16,-6.46
  └─ Dividends paid,,-0.06,0.00,0.00,-0.12,0.00,0.00,0.00,0.00
  └─ Financial liabilities,,0.00,0.00,-0.01,-0.34,-0.47,-0.58,0.00,0.00
  └─ Other financing items,,0.00,0.00,0.00,0.00,0.00,-0.08,-0.08,0.00
Net Cash Flow,,2,1,-1,-0,3,-3,0,0
  └─ Free Cash Flow,,-6,12,9,-16,-39,16,-4,-8
  └─ CFO/OP,,3%,-247%,126%,-12%,-403%,59%,-54%,-37%
