Metric,Mar 2020
Cash from Operating Activity,5.31
  └─ Profit from operations,1.37
  └─ Receivables,1.60
  └─ Inventory,0.28
  └─ Payables,-2.04
  └─ Loans Advances,4.10
  └─ Other WC items,0.10
  └─ Working capital changes,4.05
  └─ Direct taxes,-0.11
Cash from Investing Activity,-1.15
  └─ Investments purchased,-0.04
  └─ Interest received,1.26
  └─ Other investing items,-2.36
Cash from Financing Activity,-4.01
  └─ Repayment of borrowings,-1.73
  └─ Interest paid fin,-2.29
Net Cash Flow,0.15
  └─ Free Cash Flow,5.31
  └─ CFO/OP,303%
