Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Cash from Operating Activity,-2.89,-9.00,-0.05,-1.49,7.79,5.71,2.52,0.49
  └─ Profit from operations,-0.07,1.45,0.13,0.04,5.28,3.87,2.91,-0.10
  └─ Receivables,0.00,0.06,0.34,0.04,-0.07,0.12,0.19,0.04
  └─ Inventory,0.11,-0.01,0.02,0.09,0.09,1.28,0.07,0.05
  └─ Payables,-2.70,-7.03,0.31,-1.03,0.01,0.44,-0.65,0.50
  └─ Working capital changes,-2.59,-6.98,0.67,-0.90,0.03,1.84,-0.39,0.59
  └─ Interest paid,-0.84,-3.59,-0.97,-0.75,-0.07,0.00,0.00,0.00
  └─ Exceptional CF items,0.61,0.12,0.12,0.12,2.55,0.00,0.00,0.00
Cash from Investing Activity,0.63,19.50,1.94,0.86,3.50,0.00,0.00,1.42
  └─ Fixed assets purchased,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00
  └─ Fixed assets sold,0.01,19.50,1.94,0.86,0.00,0.00,0.00,1.42
  └─ Investments sold,0.62,0.00,0.00,0.00,3.54,0.00,0.00,0.00
Cash from Financing Activity,2.21,-10.33,-2.06,0.61,-11.29,-5.70,-2.53,0.00
  └─ Proceeds from borrowings,0.00,0.00,0.00,0.61,0.00,-5.70,0.00,0.00
  └─ Repayment of borrowings,-4.79,-3.33,-2.06,0.00,-11.29,0.00,-2.53,0.00
  └─ Share application money,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Application money refund,0.00,-7.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,-0.05,0.17,-0.17,-0.02,0.00,0.01,-0.01,1.91
  └─ Free Cash Flow,-2.88,10.50,1.89,-0.63,7.75,5.71,2.52,1.91
  └─ CFO/OP,289%,254%,4%,66%,-205%,-321%,-212%,-40%
