Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1318,1457,1729,593,1336,835,269,1214,1258,2373,2175
  └─ Profit from operations,1815,1796,1946,2064,777,472,1473,1826,2160,2338,2704
  └─ Receivables,-139,20,-484,34,130,-17,-147,-378,-299,-334,-314
  └─ Inventory,81,-90,-45,-218,282,-183,-431,-174,10,-111,-120
  └─ Payables,108,171,668,-428,37,645,8,481,-180,459,408
  └─ Loans Advances,-3,8,8,5,-6,11,2,0,0,0,0
  └─ Other WC items,100,276,313,-81,577,175,-370,-138,263,310,273
  └─ Working capital changes,148,385,459,-689,1020,632,-937,-209,-206,324,247
  └─ Direct taxes,-645,-725,-676,-782,-461,-270,-266,-403,-696,-289,-775
Cash from Investing Activity,-995,1246,-1170,1766,-873,-463,-32,262,277,-1955,-584
  └─ Fixed assets purchased,-426,-637,-492,-585,-436,-200,-466,-641,-330,-315,-316
  └─ Fixed assets sold,7,5,9,5,12,5,54,2,3,3,6
  └─ Investments purchased,-1777,-2906,-2671,-3780,-2458,-1908,-3615,-4912,-5375,-7969,-8407
  └─ Investments sold,932,3866,1700,5357,2534,1401,3436,5720,5528,6617,7679
  └─ Interest received,307,318,270,272,262,288,228,225,367,332,423
  └─ Dividends received,6,8,7,7,7,7,9,12,18,14,19
  └─ Loans to subsidiaries,-25,-26,-44,-95,-148,0,0,0,0,0,0
  └─ Investment in group cos,0,0,0,0,-3,-1,-16,0,0,0,0
  └─ Inter corporate deposits,-90,-65,-110,5,35,-15,130,115,270,250,0
  └─ Other investing items,72,682,162,579,-678,-40,208,-259,-205,-886,13
Cash from Financing Activity,-356,-2670,-325,-2531,-399,-338,-383,-1239,-1452,-529,-1550
  └─ Investment subsidy,26,0,0,0,0,0,0,0,0,0,0
  └─ Interest paid fin,-4,-3,-1,-6,0,-2,-15,-6,-6,-12,-22
  └─ Dividends paid,-267,-496,-274,-305,-310,-310,-339,-1209,-1431,-502,-1509
  └─ Financial liabilities,0,0,0,0,-26,-27,-29,-24,-15,-15,-19
  └─ Other financing items,-111,-2171,-50,-2220,-64,0,0,0,0,0,0
Net Cash Flow,-33,33,234,-172,64,34,-146,236,84,-110,41
  └─ Free Cash Flow,898,825,1245,13,913,640,-143,574,932,2061,1864
  └─ CFO/OP,104%,111%,115%,64%,121%,95%,37%,89%,93%,115%,111%
