Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash from Operating Activity,4.83,15.28,11.20,3.72,21.57,8.71
  └─ Profit from operations,20.12,39.57,10.18,17.64,23.02,15.06
  └─ Receivables,-2.96,-13.88,0.00,5.63,-3.72,-1.05
  └─ Inventory,0.00,-4.90,-1.11,-13.45,7.24,-2.24
  └─ Payables,0.00,-2.09,-0.01,-3.10,2.56,-0.65
  └─ Loans Advances,-34.39,-3.26,0.00,0.00,0.00,0.00
  └─ Other WC items,22.08,-0.17,2.15,-0.99,-2.92,0.41
  └─ Working capital changes,-15.27,-24.29,1.02,-11.91,3.16,-3.53
  └─ Direct taxes,0.00,0.00,0.00,-2.01,-4.62,-2.82
  └─ Other operating items,-0.02,0.00,0.00,0.00,0.00,0.00
Cash from Investing Activity,-6.15,-46.22,-11.69,-3.85,-15.82,-9.95
  └─ Fixed assets purchased,-0.66,-49.02,-11.47,-2.64,-10.06,-6.18
  └─ Fixed assets sold,0.00,0.07,0.01,0.02,0.00,0.00
  └─ Capital WIP,0.00,0.00,-0.29,-1.30,-5.88,-3.83
  └─ Investments sold,0.03,0.40,0.00,0.00,0.63,0.00
  └─ Interest received,0.04,0.04,0.06,0.08,0.24,0.07
  └─ Other investing items,-5.56,2.29,0.00,0.00,-0.75,0.00
Cash from Financing Activity,16.42,14.07,-0.48,4.95,-7.28,0.86
  └─ Proceeds from shares,17.37,15.21,-0.00,-0.00,-0.00,-0.00
  └─ Proceeds from borrowings,-0.00,-0.00,-0.00,6.11,-0.00,-0.00
  └─ Repayment of borrowings,-0.00,-0.00,-0.00,-0.00,-6.11,-0.00
  └─ Interest paid fin,-0.02,-0.00,-0.00,-1.41,-0.00,-0.00
  └─ Dividends paid,-0.00,-0.87,-0.58,-0.12,-1.44,-0.00
  └─ Other financing items,-0.94,-0.28,0.09,0.36,0.28,0.86
Net Cash Flow,15.10,-16.88,-0.97,4.83,-1.53,-0.38
  └─ Free Cash Flow,4.17,-33.67,-0.55,-0.20,5.63,-1.30
  └─ CFO/OP,24%,38%,39%,34%,117%,77%
