Metric,Mar 2018,Mar 2019,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,60,99,27,58,176,168,158,182
  └─ Profit from operations,79,92,5,56,175,200,219,218
  └─ Receivables,-3,-3,-1,0,-8,-5,-4,-4
  └─ Inventory,-2,3,2,-0,-3,-2,-8,-2
  └─ Payables,-13,12,3,-3,13,-3,5,3
  └─ Other WC items,2,-1,18,8,-5,-7,-23,-3
  └─ Working capital changes,-17,11,22,5,-3,-17,-31,-6
  └─ Direct taxes,-3,-3,-0,-3,4,-15,-30,-31
Cash from Investing Activity,-37,-61,-25,-22,-42,-101,-196,-303
  └─ Fixed assets purchased,-39,-42,-41,-27,-42,-117,-151,-287
  └─ Fixed assets sold,3,0,0,1,0,0,3,0
  └─ Investments purchased,0,0,-0,-0,0,0,-55,-45
  └─ Investments sold,0,0,0,0,0,0,0,25
  └─ Interest received,3,1,2,1,2,1,3,3
  └─ Other investing items,-4,-21,15,3,-2,15,3,0
Cash from Financing Activity,-18,-42,-5,-37,-126,-40,4,115
  └─ Proceeds from shares,-0,-0,-0,-0,-0,587,-0,-0
  └─ Proceeds from borrowings,132,49,99,127,-0,58,112,260
  └─ Repayment of borrowings,-108,-40,-68,-100,-56,-610,-67,-142
  └─ Interest paid fin,-42,-50,-36,-60,-62,-63,-14,-0
  └─ Financial liabilities,-1,-1,-1,-5,-8,-12,-14,-0
  └─ Other financing items,-0,-0,-0,-0,-0,-0,-12,-3
Net Cash Flow,4,-4,-4,-1,8,28,-34,-7
  └─ Free Cash Flow,23,58,-15,32,135,51,10,-105
  └─ CFO/OP,84%,120%,231%,132%,105%,95%,92%,98%
