Metric,Sep 2006,Dec 2007,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Cash from Operating Activity,0.12,-16.91,-0.74,-0.42,1.65,-0.43,-6.53
  └─ Profit from operations,-0.89,10.96,-0.36,-0.19,-0.14,-0.28,-0.24
  └─ Receivables,0.16,1.98,-0.13,-0.21,1.45,-0.23,-6.30
  └─ Inventory,0.10,0.04,0.00,0.00,0.00,0.00,0.00
  └─ Payables,0.02,-1.02,-0.23,0.02,-0.12,0.09,0.01
  └─ Operating borrowings,1.08,-27.56,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,0.00,-0.02,-0.57,0.00,0.00,0.00,0.00
  └─ Working capital changes,1.36,-26.58,-0.93,-0.19,1.33,-0.14,-6.29
  └─ Interest paid,-0.35,-1.29,-0.01,-0.02,0.00,0.00,0.00
  └─ Direct taxes,0.00,0.00,0.00,-0.02,-0.01,-0.01,0.00
  └─ Exceptional CF items,0.00,0.00,0.56,0.00,0.47,0.00,0.00
Cash from Investing Activity,0.12,21.80,-1.24,1.84,-0.47,-0.17,3.93
  └─ Fixed assets purchased,0.00,-0.01,0.00,0.00,0.00,0.00,0.00
  └─ Fixed assets sold,0.12,12.23,0.01,0.05,0.00,0.00,0.00
  └─ Investments purchased,0.00,0.00,-1.60,0.00,-0.75,-3.18,0.00
  └─ Investments sold,0.00,9.54,0.00,1.50,0.00,2.54,3.67
  └─ Interest received,0.00,0.03,0.34,0.29,0.27,0.43,0.16
  └─ Dividends received,0.00,0.00,0.01,0.00,0.01,0.00,0.00
  └─ Other investing items,0.00,0.01,0.00,0.00,0.00,0.04,0.10
Cash from Financing Activity,-0.31,-0.31,0.49,-0.45,-0.05,-0.03,-1.82
  └─ Proceeds from borrowings,0.00,0.00,0.49,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,-0.31,-0.31,0.00,-0.45,-0.06,1.79,-1.79
  └─ Interest paid fin,0.00,0.00,0.00,0.00,0.00,-0.02,-0.04
  └─ Other financing items,0.00,0.00,0.00,0.00,0.01,-1.80,0.01
Net Cash Flow,-0.07,4.58,-1.49,0.97,1.13,-0.63,-4.42
  └─ Free Cash Flow,0.24,-4.69,-0.73,-0.37,1.65,-0.43,-6.53
  └─ CFO/OP,-16%,88%,67%,190%,-1038%,350%,2721%
