Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jan 2023
Cash from Operating Activity,9,-5,7,-9,23,14,-12,
  └─ Profit from operations,2.28,4.46,9.38,15.36,18.74,22.03,18.95,12.87
  └─ Receivables,2.31,-5.67,-3.52,-2.76,-0.78,-8.77,-3.47,3.12
  └─ Payables,5.56,-4.59,5.52,-1.91,12.29,-1.56,-1.52,-2.49
  └─ Loans Advances,0.10,1.31,0.00,0.00,-4.88,-0.83,-6.67,-16.97
  └─ Other WC items,0.39,-0.01,-2.32,-17.36,2.20,8.53,-14.93,0.93
  └─ Working capital changes,8.37,-8.95,-0.31,-22.02,8.83,-2.63,-26.58,-15.41
  └─ Direct taxes,-1.65,-0.67,-2.24,-2.37,-4.16,-4.93,-4.74,-1.48
Cash from Investing Activity,-1,0,-5,-9,-43,-17,5,
  └─ Fixed assets purchased,-0.27,-0.49,-0.04,-9.64,-20.85,-4.57,-2.41,-8.09
  └─ Interest received,0.31,0.26,0.18,0.25,1.93,3.40,3.46,0.08
  └─ Investment in group cos,-0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,-0.96,0.35,-4.68,0.66,-23.90,-16.05,3.94,-2.06
Cash from Financing Activity,1,-1,0,14,23,3,4,
  └─ Proceeds from shares,0.00,0.00,0.23,15.40,36.46,0.00,0.00,0.00
  └─ Proceeds from borrowings,1.75,0.00,0.00,0.00,0.00,4.40,5.84,10.50
  └─ Repayment of borrowings,0.00,-0.87,0.00,0.00,-7.52,0.00,0.00,0.00
  └─ Interest paid fin,-0.04,-0.22,-0.08,-0.94,-1.68,-0.99,-2.06,-0.63
  └─ Dividends paid,-0.80,-0.02,0.00,0.00,-1.33,0.00,0.00,0.00
  └─ Other financing items,0.00,0.00,0.00,-0.16,-3.05,0.00,0.00,0.00
Net Cash Flow,9,-6,2,-3,3,1,-4,
  └─ Free Cash Flow,9,-6,7,-19,3,10,-15,
  └─ CFO/OP,566%,-187%,123%,-45%,149%,91%,-41%,
