Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,60,80,209,189,292,445
  └─ Profit from operations,163,232,351,396,424,479
  └─ Receivables,-29,-56,-83,-48,-67,35
  └─ Inventory,-46,-62,14,-55,-8,-0
  └─ Payables,2,6,3,8,-10,14
  └─ Other WC items,3,3,-13,-28,37,11
  └─ Working capital changes,-69,-109,-78,-123,-49,59
  └─ Direct taxes,-34,-43,-64,-84,-83,-93
Cash from Investing Activity,-59,-166,-172,-470,-320,-497
  └─ Fixed assets purchased,-92,-191,-175,-194,-281,-461
  └─ Fixed assets sold,0,0,0,0,0,0
  └─ Investments purchased,0,-0,0,0,-79,-444
  └─ Investments sold,29,0,0,0,0,298
  └─ Interest received,4,2,0,1,20,21
  └─ Redemp n Canc of Shares,0,0,0,0,0,0
  └─ Other investing items,0,23,1,-277,20,90
Cash from Financing Activity,-0,83,-37,281,40,65
  └─ Proceeds from shares,-0,-0,-0,381,1,2
  └─ Proceeds from borrowings,56,94,17,9,85,102
  └─ Repayment of borrowings,-31,-4,-42,-84,-0,-1
  └─ Interest paid fin,-25,-7,-12,-13,-7,-10
  └─ Dividends paid,-0,-0,-0,-12,-38,-28
  └─ Other financing items,-0,-0,-0,-0,-0,-0
Net Cash Flow,1,-3,-0,1,12,13
  └─ Free Cash Flow,-32,-111,35,-5,12,-16
  └─ CFO/OP,59%,53%,80%,71%,92%,114%
