Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-16,-31,67,-53,76,-77,-63
  └─ Profit from operations,-12,-5,80,78,72,-47,10
  └─ Receivables,-2,-13,3,-38,13,-12,-72
  └─ Inventory,-1,-13,-25,-56,6,4,-49
  └─ Payables,-1,4,3,7,2,-7,33
  └─ Loans Advances,-0,0,-0,0,0,0,0
  └─ Other WC items,-1,-4,14,-38,3,-13,15
  └─ Working capital changes,-4,-26,-6,-125,25,-27,-74
  └─ Direct taxes,-0,0,-7,-6,-20,-2,0
Cash from Investing Activity,5,-7,-31,-149,-102,-68,15
  └─ Fixed assets purchased,-9,-9,-13,-33,-67,-88,-88
  └─ Fixed assets sold,0,0,0,0,0,0,0
  └─ Investments purchased,0,0,-10,-110,-2,-25,0
  └─ Investments sold,12,12,0,0,46,0,30
  └─ Interest received,1,1,2,3,12,13,4
  └─ Dividends received,1,0,0,0,0,0,0
  └─ Other investing items,-0,-11,-9,-9,-92,31,69
Cash from Financing Activity,1,43,-11,176,189,-8,61
  └─ Proceeds from shares,0,0,0,0,301,0,0
  └─ Proceeds from debentures,0,15,0,0,0,0,0
  └─ Proceeds from borrowings,4,0,52,86,0,0,72
  └─ Repayment of borrowings,-2,-0,-67,-6,-86,0,0
  └─ Interest paid fin,-0,-1,-7,-4,-3,-1,-3
  └─ Financial liabilities,-1,-1,-1,-2,-4,-7,-8
  └─ Other financing items,0,30,12,102,-18,0,0
Net Cash Flow,-11,5,25,-26,164,-152,13
  └─ Free Cash Flow,-26,-40,53,-86,9,-164,-152
  └─ CFO/OP,130%,291%,99%,-97%,171%,144%,-1322%
