Metric,Mar 2017
Cash from Operating Activity,1.84
  └─ Profit from operations,4.75
  └─ Receivables,-0.69
  └─ Inventory,-1.07
  └─ Payables,-1.75
  └─ Loans Advances,-0.65
  └─ Other WC items,1.26
  └─ Working capital changes,-2.90
Cash from Investing Activity,-11.50
  └─ Fixed assets purchased,-11.58
  └─ Investments purchased,-0.01
  └─ Investments sold,0.08
Cash from Financing Activity,7.71
  └─ Proceeds from borrowings,13.09
  └─ Repayment of borrowings,-3.44
  └─ Interest paid fin,-1.94
Net Cash Flow,-1.95
  └─ Free Cash Flow,-9.74
  └─ CFO/OP,39%
