Metric,Jul 2007,Jul 2008,Jul 2009,Jul 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,10.36,0.17,4.93,5.51,0.43,1.28,0.39,-1.41,-9.48,-72.87
  └─ Profit from operations,9,-3,0,-0,-0,-0,0,-0,1,-0
  └─ Receivables,5,-2,6,8,0,0,0,0,0,0
  └─ Inventory,-0,3,0,0,0,0,0,-0,-24,9
  └─ Payables,0,0,-1,0,0,0,-0,0,12,0
  └─ Loans Advances,-3,2,-0,-3,0,1,0,0,0,-0
  └─ Other WC items,-1,-1,0,0,0,0,0,-1,2,-81
  └─ Working capital changes,1,3,5,6,1,1,0,-1,-10,-73
  └─ Direct taxes,0,0,-0,0,-0,0,0,-0,0,0
Cash from Investing Activity,-10.49,0.70,-5.51,-5.28,0.85,-1.58,0.00,0.05,0.00,104.79
  └─ Fixed assets purchased,-4,-1,0,0,0,0,0,0,0,0
  └─ Fixed assets sold,0,1,0,0,0,0,0,0,0,0
  └─ Capital WIP,-2,-2,-2,-4,-0,0,0,0,0,0
  └─ Investments purchased,-5,0,-5,-2,1,-2,0,0,0,0
  └─ Investments sold,0,3,0,0,0,0,0,0,0,82
  └─ Interest received,0,0,0,0,0,0,0,0,0,0
  └─ Other investing items,0,0,1,1,0,0,0,0,0,23
Cash from Financing Activity,-1.79,-1.66,0.58,0.43,-1.50,-0.13,-0.41,1.33,9.91,-30.78
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.62,0.00
  └─ Proceeds from borrowings,0.00,0.00,0.71,0.60,0.00,0.00,0.00,1.37,1.00,2.00
  └─ Repayment of borrowings,-0.87,-1.05,0.00,0.00,-1.52,-0.13,0.00,0.00,-0.93,-0.10
  └─ Interest paid fin,0.00,0.00,-0.13,-0.17,0.02,0.00,-0.08,-0.04,-0.10,-0.21
  └─ Dividends paid,-0.82,-0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.10
  └─ Other financing items,-0.10,0.00,0.00,0.00,0.00,0.00,-0.33,0.00,-0.64,-32.38
Net Cash Flow,-1.92,-0.79,0.00,0.66,-0.22,-0.43,-0.02,-0.03,0.42,1.13
  └─ Free Cash Flow,4.72,-1.68,3.51,1.87,0.30,1.28,0.39,-1.41,-9.48,-72.87
  └─ CFO/OP,132%,4%,1927%,-270%,-125%,-582%,-557%,448%,-1094%,104100%
