Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,12,22,37,17,19,72,2
  └─ Profit from operations,5.87,24.25,33.20,31.32,49.02,55.28,19.57
  └─ Receivables,5.55,0.00,0.87,-1.50,-20.01,5.67,-9.56
  └─ Inventory,-4.86,-7.39,-7.39,1.53,0.48,-12.19,8.38
  └─ Payables,-1.50,5.58,-4.98,-5.29,2.28,-1.28,-1.51
  └─ Operating borrowings,0.00,0.00,8.98,-2.05,-8.33,0.00,0.00
  └─ Other WC items,9.60,2.36,15.81,-2.63,3.56,39.47,-9.89
  └─ Working capital changes,8.79,0.56,13.29,-9.94,-22.03,31.67,-12.59
  └─ Direct taxes,-2.46,-2.47,-9.29,-4.21,-7.62,-14.82,-4.55
  └─ Other operating items,-0.27,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Investing Activity,-5,-0,-36,-12,12,-11,-45
  └─ Fixed assets purchased,-5.44,-2.00,-1.52,-1.04,-1.31,-1.81,-7.02
  └─ Fixed assets sold,0.00,1.21,0.46,0.28,0.11,0.00,0.43
  └─ Capital WIP,0.00,0.00,0.00,0.00,0.00,-0.15,0.00
  └─ Investments sold,0.00,0.00,0.05,7.00,0.00,0.00,0.00
  └─ Interest received,0.16,0.36,1.29,1.91,3.02,3.35,4.27
  └─ Dividends received,0.08,0.00,0.00,0.00,0.01,0.00,0.02
  └─ Other investing items,0.00,0.00,-36.53,-20.41,10.37,-11.92,-42.88
Cash from Financing Activity,-5,-9,-3,-3,-36,-7,1
  └─ Proceeds from shares,1.20,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,0.00,0.00,0.00,0.00,0.00,1.15,4.99
  └─ Repayment of borrowings,-1.92,-8.15,-1.38,-0.97,-1.40,-5.06,-0.82
  └─ Interest paid fin,-1.54,-1.36,-1.09,-1.01,-1.45,-0.43,-0.59
  └─ Dividends paid,-0.14,-0.14,-0.15,-0.15,-0.14,-1.23,-1.23
  └─ Other financing items,-2.48,0.89,-0.72,-0.88,-33.28,-1.15,-1.10
Net Cash Flow,2,13,-2,2,-5,55,-41
  └─ Free Cash Flow,6,22,36,16,18,70,-4
  └─ CFO/OP,1116%,102%,155%,90%,58%,159%,32%
