Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-0.05,0.22,-1.00,-0.45,0.07,0.31,-1.53,1.86
  └─ Profit from operations,0.53,0.28,-1.01,-0.34,0.32,0.01,0.80,0.95
  └─ Receivables,0.02,-0.01,0.02,0.00,-0.02,-0.31,0.17,-0.26
  └─ Inventory,0.00,0.00,0.00,0.00,-0.08,-0.05,0.00,0.07
  └─ Payables,0.09,0.09,-0.06,0.00,0.02,0.62,-0.35,0.06
  └─ Loans Advances,-0.59,-0.03,0.07,0.00,-0.15,0.11,-2.02,1.12
  └─ Other WC items,0.00,0.00,0.00,-0.12,0.00,0.00,0.00,0.00
  └─ Working capital changes,-0.47,0.05,0.03,-0.11,-0.23,0.37,-2.20,0.99
  └─ Direct taxes,-0.11,-0.11,-0.01,0.00,-0.02,-0.07,-0.14,-0.08
Cash from Investing Activity,-0.01,0.06,0.12,0.06,0.01,0.01,-0.14,-0.06
  └─ Fixed assets purchased,-0.01,-0.09,0.00,-0.02,-0.06,-0.05,-0.24,-0.18
  └─ Fixed assets sold,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00
  └─ Interest received,0.00,0.16,0.12,0.09,0.07,0.07,0.09,0.11
Cash from Financing Activity,2.44,0.00,-0.04,0.00,0.00,-0.18,0.00,0.00
  └─ Proceeds from shares,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Dividends paid,0.00,0.00,-0.04,0.00,0.00,-0.18,0.00,0.00
Net Cash Flow,2.38,0.28,-0.91,-0.38,0.09,0.13,-1.67,1.79
  └─ Free Cash Flow,-0.06,0.13,-1.00,-0.47,0.01,0.26,-1.75,1.68
  └─ CFO/OP,11%,106%,157%,122%,69%,-543%,-386%,451%
