Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-0,-51,11,134,56
  └─ Profit from operations,-0,15,145,184,289
  └─ Receivables,0,-8,-71,27,-153
  └─ Inventory,0,0,-35,38,-35
  └─ Payables,0,-3,64,-3,62
  └─ Other WC items,0,-51,-78,-91,-79
  └─ Working capital changes,0,-62,-120,-29,-204
  └─ Direct taxes,-0,-4,-15,-22,-29
Cash from Investing Activity,1,-35,-256,-105,106
  └─ Fixed assets purchased,0.00,-20.18,-60.31,-145.44,0.00
  └─ Fixed assets sold,0.00,0.00,0.00,0.00,31.96
  └─ Investments purchased,0.00,0.00,-172.65,-150.10,-0.14
  └─ Investments sold,0.00,0.06,0.00,0.00,15.24
  └─ Interest received,0.11,0.02,9.32,9.18,9.27
  └─ Other investing items,0.63,-15.36,-32.01,181.23,49.82
Cash from Financing Activity,0,89,255,-24,-169
  └─ Proceeds from shares,0,0,298,0,0
  └─ Proceeds from borrowings,0,72,59,152,68
  └─ Repayment of borrowings,0,0,0,-50,0
  └─ Interest paid fin,0,-1,-35,-46,-31
  └─ Financial liabilities,0,0,-64,-81,-206
  └─ Other financing items,0,18,-2,0,0
Net Cash Flow,1,2,10,4,-7
  └─ Free Cash Flow,-0,-71,-50,-12,88
  └─ CFO/OP,100%,-84%,14%,48%,18%
