Metric,Mar 2006,Jun 2007,Jun 2008,Jun 2010,Jun 2011,Jun 2012
Cash from Operating Activity,,-0,-10,6,11,
  └─ Profit from operations,,3,5,12,8,
  └─ Receivables,,5,-13,-60,-66,
  └─ Inventory,,-5,-8,-7,-1,
  └─ Payables,,-0,10,63,69,
  └─ Loans Advances,,-3,-3,-2,1,
  └─ Working capital changes,,-3,-15,-6,3,
  └─ Direct taxes,,-0,0,-0,-0,
Cash from Investing Activity,,1,-1,-9,-2,
  └─ Fixed assets purchased,,-0.06,-1.36,-9.67,-2.13,
  └─ Fixed assets sold,,0.00,0.00,0.02,0.00,
  └─ Interest received,,0.02,0.06,0.32,0.22,
  └─ Dividends received,,0.90,0.00,0.00,0.00,
Cash from Financing Activity,,1,22,4,-9,
  └─ Proceeds from shares,,1.27,17.85,0.00,0.00,
  └─ Proceeds from borrowings,,0.13,1.06,6.27,0.00,
  └─ Repayment of borrowings,,0.00,-0.01,0.00,-6.51,
  └─ Interest paid fin,,-0.14,0.00,-1.09,-1.32,
  └─ Dividends paid,,0.00,0.00,-1.38,-1.18,
  └─ Share application money,,0.00,3.78,0.00,0.00,
  └─ Other financing items,,-0.12,-0.22,0.00,0.00,
Net Cash Flow,,2,11,0,0,
  └─ Free Cash Flow,,-0,-11,-4,9,
  └─ CFO/OP,,-14%,-185%,39%,138%,
