Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,Dec 2013
Cash from Operating Activity,,112,58,-25,77,202,171,62,38,142,187,93,
  └─ Profit from operations,,108,110,119,132,157,185,226,261,304,358,368,104
  └─ Receivables,,1,-3,-102,-39,-6,18,-10,-114,-79,-164,-212,19
  └─ Inventory,,19,-24,-36,-55,-22,-36,-62,-138,-82,-0,-143,10
  └─ Payables,,6,18,40,46,26,22,18,35,30,32,69,9
  └─ Loans Advances,,6,8,-2,0,-2,0,-5,-2,3,-3,0,-10
  └─ Other WC items,,1,-11,1,35,84,24,-28,57,35,32,116,8
  └─ Working capital changes,,33,-12,-99,-13,80,28,-87,-162,-93,-104,-169,36
  └─ Direct taxes,,-29,-40,-45,-41,-35,-41,-76,-60,-70,-67,-106,-35
Cash from Investing Activity,,-33,-61,39,-86,-152,-101,2,-12,5,-146,50,
  └─ Fixed assets purchased,,-37,-80,-82,-43,-59,-50,-38,-107,-93,-101,-94,-26
  └─ Fixed assets sold,,0,0,0,1,13,0,1,2,1,1,1,0
  └─ Investments purchased,,0,0,0,0,0,0,0,0,0,0,-1,0
  └─ Investment income,,3,0,0,0,0,0,0,0,0,0,0,4
  └─ Interest received,,19,16,15,7,6,20,19,20,19,21,25,10
  └─ Dividends received,,0,0,0,0,0,0,0,0,0,5,7,0
  └─ Other investing items,,-18,2,106,-51,-113,-72,21,73,78,-72,112,-0
Cash from Financing Activity,,-48,-23,-21,2,-4,-32,-95,-51,-59,-65,-72,
  └─ Proceeds from borrowings,,0,0,0,31,127,120,80,58,40,50,0,0
  └─ Repayment of borrowings,,0,0,0,0,-100,-120,-140,-58,-40,-50,0,0
  └─ Interest paid fin,,-2,-3,-4,-4,-5,-3,-5,-6,-5,-2,-1,-3
  └─ Dividends paid,,-19,-19,-19,-21,-21,-28,-30,-44,-52,-61,-70,-19
  └─ Financial liabilities,,0,0,0,0,0,-1,-1,-1,-1,-2,-1,0
  └─ Other financing items,,-27,-1,2,-4,-4,0,0,0,0,0,0,-17
Net Cash Flow,,31,-26,-7,-6,46,39,-30,-25,88,-24,71,
  └─ Free Cash Flow,,76,-21,-107,36,157,122,25,-67,49,88,-0,
  └─ CFO/OP,,133%,93%,18%,92%,157%,126%,66%,40%,72%,75%,53%,
