Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1,11,-28,10,23
  └─ Profit from operations,2,39,50,62,98
  └─ Receivables,-2,-11,-38,-24,-67
  └─ Payables,-1,2,-0,-2,20
  └─ Loans Advances,0,0,-4,4,0
  └─ Operating borrowings,1,0,-1,1,0
  └─ Other WC items,1,-15,-18,-26,-23
  └─ Working capital changes,-1,-24,-61,-47,-70
  └─ Direct taxes,-0,-3,-17,-4,-4
Cash from Investing Activity,-0,-5,-32,-72,-86
  └─ Fixed assets purchased,-1,-2,-1,-99,-73
  └─ Interest received,0,0,2,1,3
  └─ Inter corporate deposits,0,0,-34,27,0
  └─ Other investing items,0,-4,0,0,-16
Cash from Financing Activity,3,-1,53,89,78
  └─ Proceeds from shares,0,0,55,0,82
  └─ Proceeds from borrowings,3,1,0,49,23
  └─ Repayment of borrowings,0,-1,-2,0,-9
  └─ Interest paid fin,-0,-1,-0,-4,-10
  └─ Financial liabilities,0,0,0,0,-7
  └─ Other financing items,0,0,0,44,0
Net Cash Flow,3,6,-7,27,15
  └─ Free Cash Flow,0,10,-29,-90,-50
  └─ CFO/OP,64%,38%,-22%,22%,32%
