Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-18.91,92.54,-30.22,1.51,-269.47,-5.79,-11.84,-0.19,0.03,-3.42,11.51,0.14
  └─ Profit from operations,-1.43,-0.45,-0.58,-1.83,-2.54,-4.41,-1.06,-1.74,1.68,4.64,0.00,0.14
  └─ Receivables,-0.23,-0.15,0.03,-0.02,-0.15,0.56,0.00,0.00,-1.22,-2.24,2.63,-0.28
  └─ Inventory,0.93,87.23,-26.91,2.01,0.37,1.90,23.79,0.00,0.00,0.18,-13.55,-0.13
  └─ Payables,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.53,-0.01,-0.02
  └─ Loans Advances,3.86,1.42,-4.36,-6.01,-275.66,-10.36,-41.92,2.49,0.00,0.00,0.00,0.00
  └─ Operating borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00
  └─ Other WC items,-21.94,4.61,1.60,7.36,8.51,6.52,7.35,-0.94,-0.42,-5.13,22.45,0.68
  └─ Working capital changes,-17.38,93.11,-29.64,3.34,-266.93,-1.38,-10.78,1.55,-1.65,-7.72,11.53,0.24
  └─ Direct taxes,-0.10,-0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.34,-0.02,-0.25
Cash from Investing Activity,19.90,-29.40,-52.21,-1.03,6.14,1.19,-0.03,-0.02,-0.02,-10.65,-11.30,0.20
  └─ Fixed assets purchased,0.00,0.00,-0.01,-0.02,0.00,0.00,0.00,-0.02,-0.02,-0.18,-7.24,0.00
  └─ Capital WIP,0.00,0.00,-36.71,-4.93,-0.35,0.00,-0.03,0.00,0.00,0.00,0.00,0.00
  └─ Investments purchased,18.16,-31.00,-15.50,-0.55,0.00,0.00,0.00,0.00,0.00,-11.47,-6.33,0.00
  └─ Investments sold,0.00,0.00,0.00,4.45,6.26,1.19,0.00,0.00,0.00,4.08,2.03,0.00
  └─ Interest received,1.74,1.60,0.00,0.02,0.22,0.00,0.00,0.00,0.00,0.00,0.24,0.21
  └─ Acquisition of companies,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.57,0.00,0.00
  └─ Other investing items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00
Cash from Financing Activity,-1.08,-79.24,82.44,0.00,268.00,0.00,0.00,0.00,0.00,16.51,0.00,0.00
  └─ Proceeds from shares,13.92,0.00,82.44,0.00,270.00,0.00,0.00,0.00,0.00,10.02,0.00,0.00
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,0.00,0.00,-0.85,0.00,0.00
  └─ Interest paid fin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.06,0.00,0.00
  └─ Other financing items,-15.00,-79.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,0.00
Net Cash Flow,-0.09,-16.10,0.01,0.48,4.66,-4.59,-11.87,-0.21,0.01,2.44,0.21,0.34
  └─ Free Cash Flow,-18.91,92.54,-66.94,-3.44,-269.82,-5.79,-11.87,-0.21,0.01,-3.60,4.27,0.14
  └─ CFO/OP,1470%,-20589%,5302%,-83%,8893%,112%,745%,11%,2%,-69%,,-15%
