Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-0,3,3,2,5
  └─ Profit from operations,1,3,4,4,9
  └─ Receivables,-1,0,0,-1,-59
  └─ Inventory,-0,0,-0,-0,-0
  └─ Payables,-0,-0,0,-0,54
  └─ Operating borrowings,0,0,0,0,0
  └─ Other WC items,0,-0,-0,0,3
  └─ Working capital changes,-1,-0,0,-1,-2
  └─ Direct taxes,-0,-0,-1,-1,-2
Cash from Investing Activity,-0,-12,-1,-1,-10
  └─ Fixed assets purchased,-0.02,-12.02,-1.09,-1.09,-4.81
  └─ Capital WIP,0.00,0.00,0.00,0.00,-0.20
  └─ Investments purchased,0.00,0.00,0.00,0.00,-4.00
  └─ Other investing items,0.00,0.00,0.00,0.00,-0.50
Cash from Financing Activity,1,11,12,-2,-2
  └─ Proceeds from shares,0.36,10.66,12.80,0.00,0.00
  └─ Proceeds from borrowings,0.40,0.00,0.00,0.00,3.90
  └─ Repayment of borrowings,0.00,-0.04,-0.42,-2.32,0.00
  └─ Interest paid fin,0.00,0.00,0.00,0.00,-0.03
  └─ Other financing items,0.00,0.04,0.02,0.06,-5.70
Net Cash Flow,1,1,15,-1,-6
  └─ Free Cash Flow,-0,-9,2,1,-0
  └─ CFO/OP,16%,99%,130%,124%,84%
