Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1675,1557,2810,3416,1703,4739,4832,5309,735,5646,2237,5362
  └─ Profit from operations,1949,1581,3192,3806,3860,4617,5245,6288,4946,6367,6019,6927
  └─ Receivables,-157,-94,-368,-959,-570,-252,244,-82,-547,24,-382,-21
  └─ Inventory,35,-20,-100,-281,-506,840,420,-1122,-467,-228,-513,-9
  └─ Payables,137,131,682,1382,50,63,92,650,-28,103,-576,665
  └─ Other WC items,0,0,0,0,0,0,0,222,-2431,295,-1930,-2482
  └─ Working capital changes,15,17,214,142,-1026,651,757,-331,-3473,194,-3401,-1848
  └─ Direct taxes,-289,-42,-596,-532,-1130,-530,-1170,-648,-738,-916,-380,282
Cash from Investing Activity,-456,-83,-4165,-738,-765,-1191,-1317,-2007,-14481,-8941,-7529,-7935
  └─ Fixed assets purchased,-825,-624,-914,-1088,-1108,-1667,-1734,-2334,-4232,-4482,-8687,-6344
  └─ Fixed assets sold,3,5,29,3,16,60,8,38,166,521,157,389
  └─ Investments purchased,0,-6,-0,0,0,0,-9,-15,0,-751,-5364,0
  └─ Investments sold,92,148,160,121,80,49,27,18,52,53,117,1932
  └─ Interest received,224,263,342,195,234,392,391,278,435,1004,982,326
  └─ Dividends received,60,0,8,7,1,3,3,4,12,26,15,7
  └─ Redemp n Canc of Shares,0,0,0,0,2,0,22,0,0,46,0,0
  └─ Acquisition of companies,0,0,-14,0,0,0,0,0,0,-2354,-3898,-6621
  └─ Inter corporate deposits,-0,-0,5,0,0,0,-0,-0,-0,-2086,5,0
  └─ Other investing items,-10,131,-3782,23,10,-29,-26,4,-10914,-918,9145,2377
Cash from Financing Activity,-721,-900,-958,-1015,-719,-629,-3956,-516,2931,5689,5592,-1629
  └─ Proceeds from shares,43,26,0,0,0,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,0,4,14,10,23,0,8,0,0,0,10,8
  └─ Repayment of borrowings,-14,-3,-10,-13,0,0,-6,0,-4,-24,-1181,-657
  └─ Interest paid fin,-33,-40,-87,-156,-92,-113,-113,-132,-158,-234,-176,-152
  └─ Dividends paid,-617,-744,-711,-715,-539,-429,-3796,-333,-1795,-585,-563,-565
  └─ Financial liabilities,0,0,0,0,0,0,-41,-54,-112,-129,-837,-263
  └─ Share application money,0,0,0,0,0,0,0,0,0,0,8339,0
  └─ Other financing items,-99,-143,-164,-142,-111,-87,-9,4,5000,6661,0,0
Net Cash Flow,498,574,-2312,1663,220,2919,-441,2786,-10815,2394,301,-4203
  └─ Free Cash Flow,854,937,1925,2332,612,3132,3107,3013,-3331,1685,-6293,-594
  └─ CFO/OP,102%,104%,107%,102%,71%,115%,120%,96%,29%,103%,44%,77%
