Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0,-4,1,-2,-1,-3,3,-1,4,0,-2
  └─ Profit from operations,0.62,-1.35,-0.34,-1.89,-2.52,-1.82,3.61,3.48,5.09,4.13,16.49
  └─ Receivables,-0.70,-2.65,0.48,-0.20,-0.98,0.80,-3.62,-4.89,-3.89,0.00,0.00
  └─ Inventory,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.30,-6.71
  └─ Payables,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Loans Advances,0.17,-0.28,0.39,-0.10,0.45,0.09,0.39,-0.08,-0.31,-10.44,-11.68
  └─ Other WC items,0.01,0.78,0.40,0.05,1.86,-1.98,2.00,0.71,2.70,0.77,0.21
  └─ Working capital changes,-0.31,-2.16,1.27,-0.25,1.33,-1.09,-1.23,-4.26,-1.50,-11.97,-18.18
  └─ Direct taxes,-0.01,-0.01,0.00,-0.01,-0.26,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional CF items,0.00,0.00,0.00,0.00,0.00,-0.55,0.13,0.00,0.00,8.11,0.00
Cash from Investing Activity,-6,-3,-0,-2,-0,1,-7,-3,-11,-7,-19
  └─ Fixed assets purchased,-4.75,-3.55,-0.22,-1.72,-0.28,-4.10,-6.76,-3.52,-11.57,-7.25,-18.57
  └─ Fixed assets sold,0.00,0.00,0.00,0.00,0.00,4.61,0.00,0.00,0.01,0.00,0.00
  └─ Investments purchased,-1.01,-0.01,-0.01,0.00,-0.01,-0.05,-0.07,-0.05,0.00,0.00,-0.03
  └─ Investments sold,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.20,0.00
  └─ Interest received,0.11,0.07,0.11,0.08,0.09,0.08,0.08,0.08,0.05,0.04,0.02
  └─ Other investing items,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00
Cash from Financing Activity,5,7,-1,4,2,2,5,4,7,7,20
  └─ Proceeds from borrowings,5.80,7.98,1.88,6.26,5.16,6.66,11.03,5.26,7.99,0.42,6.03
  └─ Repayment of borrowings,0.00,0.00,-0.16,0.00,0.00,0.00,-2.37,0.00,0.00,-1.58,-5.61
  └─ Interest paid fin,-0.44,-1.03,-2.46,-2.50,-3.54,-4.91,-3.32,-0.98,-1.00,-1.01,-1.40
  └─ Other financing items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.90,20.85
Net Cash Flow,0,-0,0,-0,-0,-1,1,0,-0,0,-0
  └─ Free Cash Flow,-4,-7,1,-4,-2,-3,-4,-4,-8,-7,-20
  └─ CFO/OP,49%,261%,-291%,100%,43%,752%,79%,-25%,73%,-25%,-11%
