Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,7,22,16,125,29,35
  └─ Profit from operations,11,19,25,98,100,68
  └─ Receivables,-32,-4,-3,19,-18,-7
  └─ Inventory,-25,11,-9,13,-14,-29
  └─ Payables,45,-0,9,14,-21,15
  └─ Other WC items,0,0,0,-2,-6,-4
  └─ Working capital changes,-12,7,-2,44,-59,-25
  └─ Direct taxes,-2,-5,-6,-18,-12,-8
  └─ Exceptional CF items,9,0,0,0,0,0
Cash from Investing Activity,-40,-12,-9,-214,-151,-134
  └─ Fixed assets purchased,-39,-12,-9,-96,-110,-99
  └─ Fixed assets sold,0,0,0,2,9,31
  └─ Capital WIP,0,0,0,-3,-29,-52
  └─ Investments purchased,0,0,0,-120,-24,-17
  └─ Investments sold,0,0,0,2,0,0
  └─ Investment income,-0,0,0,0,0,0
  └─ Interest received,0,0,0,2,1,2
  └─ Dividends received,0,0,0,0,0,0
  └─ Other investing items,0,0,0,-0,2,1
Cash from Financing Activity,36,-11,-8,-64,205,45
  └─ Proceeds from shares,0.00,0.00,0.00,1.38,0.00,0.00
  └─ Proceeds from borrowings,0.00,0.00,0.00,0.06,25.96,31.12
  └─ Repayment of borrowings,0.00,-5.85,-4.59,-122.24,0.00,0.00
  └─ Interest paid fin,-2.84,-4.72,-3.56,-5.08,-10.44,-10.66
  └─ Dividends paid,0.00,0.00,0.00,-2.36,-4.14,-3.08
  └─ Other financing items,38.56,0.00,0.00,64.56,193.67,27.50
Net Cash Flow,3,-1,-1,-153,83,-54
  └─ Free Cash Flow,-33,10,8,28,-101,-85
  └─ CFO/OP,106%,111%,69%,148%,42%,65%
