Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-216,388,354,353,206,294,613,826,1150,647,200,430
  └─ Profit from operations,598,435,409,526,688,1146,718,557,461,327,399,335
  └─ Receivables,64,-80,37,-110,15,-62,141,-175,141,32,-74,-92
  └─ Inventory,-283,-88,-778,-102,-488,-316,-419,-153,-1109,-636,-1873,-1591
  └─ Payables,-79,56,542,27,481,-174,-95,-52,184,38,-45,269
  └─ Loans Advances,-224,5,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,-208,123,211,96,-402,-193,294,701,1541,964,1949,1739
  └─ Working capital changes,-730,15,13,-89,-394,-746,-79,321,758,398,-42,324
  └─ Direct taxes,-85,-62,-68,-84,-88,-106,-27,-51,-68,-77,-158,-230
Cash from Investing Activity,-60,-245,2,-129,-61,-307,-33,38,-237,-475,-1180,-97
  └─ Fixed assets purchased,-64,-108,-32,-62,-108,-302,-42,-20,-123,-125,-131,-208
  └─ Fixed assets sold,0,0,0,2,4,0,2,66,7,1,1,3
  └─ Investments purchased,-121,-188,-2,-2,-11,-2,0,-1,0,0,0,-5
  └─ Investments sold,121,20,46,0,0,0,0,0,0,0,0,0
  └─ Interest received,6,27,34,33,39,10,11,3,12,36,73,158
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,14,0,0,0,0,0
  └─ Acquisition of companies,-2,0,-35,0,0,0,0,0,0,0,0,0
  └─ Other investing items,-1,4,-9,-100,15,-14,-19,-10,-133,-388,-1122,-44
Cash from Financing Activity,337,-133,-345,-243,-86,-84,-483,-889,-773,-338,993,-285
  └─ Proceeds from shares,0,0,0,0,0,0,0,0,0,0,1984,1
  └─ Proceeds from borrowings,1747,1326,1396,1772,2031,2497,1590,409,272,665,737,517
  └─ Repayment of borrowings,-1092,-1130,-1400,-1664,-1761,-2166,-1666,-966,-784,-755,-1519,-645
  └─ Interest paid fin,-237,-246,-260,-261,-277,-330,-339,-295,-227,-215,-173,-122
  └─ Dividends paid,-69,-69,-19,-24,-66,-66,-66,-33,-29,-28,-30,-32
  └─ Financial liabilities,0,0,0,0,0,-5,-2,-5,-5,-5,-6,-4
  └─ Other financing items,-12,-14,-62,-67,-14,-14,0,0,0,0,0,0
Net Cash Flow,61,11,10,-18,58,-97,96,-25,140,-166,13,48
  └─ Free Cash Flow,-280,281,322,294,102,-7,573,873,1034,524,70,224
  └─ CFO/OP,-21%,101%,100%,84%,44%,36%,95%,165%,330%,262%,122%,213%
