Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,2,-1,-39
  └─ Profit from operations,12,30,34
  └─ Receivables,-0,-32,-13
  └─ Inventory,1,-0,-29
  └─ Payables,6,10,18
  └─ Loans Advances,-0,-1,-26
  └─ Other WC items,-16,-5,-7
  └─ Working capital changes,-10,-28,-57
  └─ Direct taxes,-1,-3,-16
Cash from Investing Activity,-3,-3,-5
  └─ Fixed assets purchased,-3.19,-2.62,-5.33
  └─ Interest received,0.00,0.01,0.35
  └─ Other investing items,0.00,-0.28,0.00
Cash from Financing Activity,2,7,87
  └─ Proceeds from shares,0,0,98
  └─ Proceeds from borrowings,95,107,7
  └─ Repayment of borrowings,-93,-99,-6
  └─ Interest paid fin,-0,-1,-2
  └─ Other financing items,0,0,-11
Net Cash Flow,0,4,42
  └─ Free Cash Flow,-2,-3,-45
  └─ CFO/OP,18%,6%,-83%
