Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,144,-125,-99,101,-218,-119
  └─ Profit from operations,28,65,67,169,207,13
  └─ Receivables,21,7,2,-4,-27,11
  └─ Inventory,8,-95,-202,13,-418,-4
  └─ Payables,-8,-9,10,15,8,-2
  └─ Loans Advances,-0,0,-0,0,0,-0
  └─ Other WC items,101,-79,42,-49,66,-118
  └─ Working capital changes,122,-175,-148,-26,-372,-114
  └─ Direct taxes,-6,-14,-18,-41,-53,-18
Cash from Investing Activity,-98,76,29,-12,-229,150
  └─ Fixed assets purchased,-0,-2,-1,-12,-9,-31
  └─ Fixed assets sold,0,0,0,1,0,0
  └─ Investments purchased,-95,0,0,0,-118,0
  └─ Investments sold,0,78,24,0,0,68
  └─ Interest received,1,1,0,0,0,0
  └─ Dividends received,0,0,0,0,9,3
  └─ Invest in subsidiaries,-3,-0,-1,-1,-0,-0
  └─ Other investing items,0,-0,6,-0,-111,111
Cash from Financing Activity,-49,46,84,-83,445,-24
  └─ Proceeds from shares,0,0,0,0,430,0
  └─ Proceeds from borrowings,0,51,123,179,185,147
  └─ Repayment of borrowings,-48,0,-38,-258,-141,-162
  └─ Interest paid fin,-1,-4,-1,-3,-2,-1
  └─ Dividends paid,0,0,0,0,0,-4
  └─ Financial liabilities,0,0,0,-0,-1,-1
  └─ Other financing items,0,0,0,0,-27,-4
Net Cash Flow,-3,-2,14,7,-2,7
  └─ Free Cash Flow,144,-126,-99,91,-227,-151
  └─ CFO/OP,585%,-203%,-134%,85%,-80%,-53%
