Metric,Mar 2026
  └─ Profit from operations,7.25
  └─ Receivables,-5.63
  └─ Payables,3.39
  └─ Loans Advances,-5.00
  └─ Other WC items,-0.17
  └─ Working capital changes,-7.41
  └─ Direct taxes,-1.98
  └─ Fixed assets purchased,-8.78
  └─ Fixed assets sold,0.12
  └─ Investments purchased,-0.62
  └─ Interest received,0.52
  └─ Other investing items,-0.66
  └─ Proceeds from shares,21.76
  └─ Proceeds from borrowings,0.44
  └─ Repayment of borrowings,-0.24
  └─ Interest paid fin,-0.93
  └─ Other financing items,-0.10
