Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,8,7,19
  └─ Profit from operations,18.70,22.37,29.58
  └─ Receivables,1.76,-0.59,-2.00
  └─ Inventory,0.64,-0.07,0.34
  └─ Payables,0.07,0.13,0.01
  └─ Other WC items,-9.70,-12.63,-0.55
  └─ Working capital changes,-7.22,-13.15,-2.20
  └─ Direct taxes,-3.89,-2.22,-8.72
Cash from Investing Activity,-1,-0,-0
  └─ Fixed assets purchased,-1.04,-0.34,-0.15
Cash from Financing Activity,-7,-4,-17
  └─ Repayment of borrowings,-8.46,-6.69,-18.37
  └─ Interest paid fin,-0.02,0.00,5.64
  └─ Dividends paid,0.00,0.00,-4.55
  └─ Other financing items,1.32,2.54,0.00
Net Cash Flow,-1,2,1
  └─ Free Cash Flow,7,7,19
  └─ CFO/OP,62%,43%,106%
