Metric,Mar 2015,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity,322,680,304,512,708,1027,539,1051,1118,1383,881,1258
  └─ Profit from operations,453,320,551,839,1029,988,514,1020,1326,1772,1379,1371
  └─ Receivables,105,-18,-156,-277,-162,340,23,34,-284,230,3,19
  └─ Inventory,53,-34,-11,-127,-275,249,134,-340,-180,53,57,56
  └─ Payables,0,0,0,0,0,0,0,480,427,-201,-353,134
  └─ Other WC items,-268,437,-21,185,260,-433,-81,-38,27,-113,58,-60
  └─ Working capital changes,-110,386,-188,-219,-177,156,76,136,-10,-31,-236,150
  └─ Direct taxes,-21,-26,-59,-108,-144,-116,-50,-105,-198,-358,-262,-263
Cash from Investing Activity,-184,-225,-831,-303,-1017,-589,-422,-762,-637,-905,-237,-802
  └─ Fixed assets purchased,-215,-207,-216,-310,-410,-424,-334,-527,-501,-530,-387,-377
  └─ Fixed assets sold,7,6,18,11,7,10,33,49,58,18,6,5
  └─ Investments purchased,-316,-310,0,-18,-620,0,-138,-188,-127,-221,-168,-368
  └─ Investments sold,329,280,28,0,0,591,0,2,0,0,0,0
  └─ Interest received,10,0,0,0,0,0,6,4,13,38,16,22
  └─ Dividends received,0,5,11,10,5,18,5,0,0,0,0,0
  └─ Acquisition of companies,0,0,-672,0,0,-785,-1,-15,-5,-7,-5,-2
  └─ Other investing items,0,0,0,6,2,1,8,-89,-74,-202,301,-82
Cash from Financing Activity,-294,-494,575,-236,362,-404,-38,-363,-488,-427,-553,-526
  └─ Proceeds from shares,9,3,452,7,6,3,0,1,4,1,0,0
  └─ Proceeds from borrowings,0,0,0,0,409,0,51,0,88,40,326,63
  └─ Repayment of borrowings,-180,0,0,0,0,-354,0,-279,-394,-248,-594,-274
  └─ Interest paid fin,-122,-34,-59,-54,-52,-52,-48,-46,-38,-107,-78,-28
  └─ Dividends paid,0,0,0,0,0,0,0,0,-95,-95,-189,-264
  └─ Financial liabilities,0,0,0,0,0,0,-41,-38,-53,-17,-18,-22
  └─ Other financing items,0,-463,182,-188,0,0,0,0,0,0,0,0
Net Cash Flow,-155,-39,48,-26,53,34,80,-74,-6,51,91,-70
  └─ Free Cash Flow,115,479,106,212,304,613,238,573,675,871,500,885
  └─ CFO/OP,78%,194%,68%,77%,85%,118%,118%,123%,112%,122%,85%,112%
